Metric,Mean,Std,Min,P10,P50,P90,Max,Count
wind_da,121.63962986598597,96.33777318980839,0.0,16.0,95.0,274.0,370.0,62680
wind_id,135.8043723699066,104.55296938894504,0.0,15.0,111.0,294.0,376.0,38972
wind_actual,120.37957701461077,102.72172959265896,0.0,8.0,91.0,283.0,380.0,65568
wind_revision,12.591347634198913,15.27204050295737,0.0,1.0,7.0,30.0,151.0,38972
wind_error_da,0.03242788768347163,38.84783402226742,-250.0,-44.0,-2.0,47.0,221.0,62680
wind_error_id,2.971584214307708,35.29526154378615,-227.0,-38.0,1.0,46.0,189.7,38972
abs_error_da_pct,0.5787852280422788,0.9912650036884163,0.0,0.0379746835443038,0.23943661971830985,1.3647450110864745,5.0,61486
abs_error_id_pct,0.42408651120184726,0.745616359122604,0.0,0.031606170598911076,0.19365079365079366,0.9166666666666666,5.0,38370
wind_share,0.05384424251779952,0.04740409215818822,0.0,0.0036226260899555407,0.040059347181008904,0.1277004803370135,0.22828154724159797,65568
