corridor,present,n_points,export_mw_mean,import_mw_mean,net_mw_mean,net_mw_median,net_mw_abs_p95,export_share,import_share,zero_share,util_export_mean,util_import_mean,util_export_p95,util_import_p95,util_export_gt90_pct,util_import_gt90_pct
NO1-NO2,True,65568,783.3616130263094,253.79835846453955,529.5632545617699,735.0,2051.0,0.7139915812591509,0.2853373596876525,0.0006405563689604685,0.35607346046650423,0.07251381670415415,0.8681818181818182,0.4522857142857143,0.033339433870180575,0.0021504392386530015
NO1-NO3,True,65568,13.575539678471205,201.75290651468706,-188.17736683621584,-210.0,437.32430719999996,0.15869021473889702,0.809632747681796,0.031677037579306976,0.02715107935694241,0.4035058130293741,0.216,0.8746486144,0.0,0.03892142508540752
NO1-NO5,True,65568,7.569026975155563,1416.998479681552,-1409.4294527063964,-1315.0,3098.0,0.045937042459736455,0.9537579306979014,0.0003050268423621279,0.012615044958592605,0.3633329435080902,0.0,0.7943589743589744,0.0002592728160078087,0.00744265495363592
NO1-SE3,True,65568,169.99731409515311,643.0836813700586,-473.08636727490546,-496.0,1820.6499999999942,0.2890739385065886,0.7104227672035139,0.000503294289897511,0.07925282708398747,0.306961184424849,0.4717948717948718,0.8644391408114559,0.0010370912640312348,0.03213457784285017
