Delivery Start (CET);Delivery End (CET);NO1 Accepted Down Volume (MW);NO1 Accepted Up Volume (MW);NO1 Activated Down Volume (MW);NO1 Activated Up Volume (MW);NO1 Down Price (EUR);NO1 Imbalance Price (EUR);NO1 Up Price (EUR)
01.01.2023 00:00:00;01.01.2023 01:00:00;104;447;0;0;90.5;90.5;119.32
01.01.2023 01:00:00;01.01.2023 02:00:00;97;522;0;0;40;40;108.83
01.01.2023 02:00:00;01.01.2023 03:00:00;48;619;0;0;30;30;102.39
01.01.2023 03:00:00;01.01.2023 04:00:00;37;634;10;0;-2;-2;92.36
01.01.2023 04:00:00;01.01.2023 05:00:00;34;709;10;0;-2;-2;82.66
01.01.2023 05:00:00;01.01.2023 06:00:00;76;704;15;0;4.5;4.5;79.58
01.01.2023 06:00:00;01.01.2023 07:00:00;78;703;16;0;-2.5;-2.5;77.65
01.01.2023 07:00:00;01.01.2023 08:00:00;69;705;14;0;-5;-5;66.27
01.01.2023 08:00:00;01.01.2023 09:00:00;69;709;10;0;-5;-5;80.89
01.01.2023 09:00:00;01.01.2023 10:00:00;83;555;20;0;-7;-7;93.73
01.01.2023 10:00:00;01.01.2023 11:00:00;114;516;43;0;-7;-7;106.05
01.01.2023 11:00:00;01.01.2023 12:00:00;105;474;17.7;0;25;25;116.28
01.01.2023 12:00:00;01.01.2023 13:00:00;109;474;0;0;42;42;120.02
01.01.2023 13:00:00;01.01.2023 14:00:00;106;474;0;0;42;42;122.17
01.01.2023 14:00:00;01.01.2023 15:00:00;95;473;0;0;42;42;120.11
01.01.2023 15:00:00;01.01.2023 16:00:00;103;431;0;0;42;42;120.71
01.01.2023 16:00:00;01.01.2023 17:00:00;117;399;0;0;121.98;132.2;132.2
01.01.2023 17:00:00;01.01.2023 18:00:00;117;382;0;0;122.16;150;150
01.01.2023 18:00:00;01.01.2023 19:00:00;118;399;0;0;121.77;150;150
01.01.2023 19:00:00;01.01.2023 20:00:00;117;312;0;0;121.01;121.01;121.01
01.01.2023 20:00:00;01.01.2023 21:00:00;117;302;0;0;120.4;120.4;120.4
01.01.2023 21:00:00;01.01.2023 22:00:00;117;399;0;0;119.6;140;140
01.01.2023 22:00:00;01.01.2023 23:00:00;87;441;0;37.3;116.24;142.5;142.5
01.01.2023 23:00:00;02.01.2023 00:00:00;79;470;0;71;115.45;142.5;142.5
02.01.2023 00:00:00;02.01.2023 01:00:00;62;422;0;0;119.96;150;150
02.01.2023 01:00:00;02.01.2023 02:00:00;57;429;0;0;119.19;145;145
02.01.2023 02:00:00;02.01.2023 03:00:00;60;426;0;0;118.18;130;130
02.01.2023 03:00:00;02.01.2023 04:00:00;67;424;0;0;118.11;118.11;118.11
02.01.2023 04:00:00;02.01.2023 05:00:00;69;412;0;0;119.99;119.99;119.99
02.01.2023 05:00:00;02.01.2023 06:00:00;58;433;0;0;117.74;117.74;117.74
02.01.2023 06:00:00;02.01.2023 07:00:00;80;405;0;0;121.73;121.73;121.73
02.01.2023 07:00:00;02.01.2023 08:00:00;55;415;0;0;101.52;138.19;138.19
02.01.2023 08:00:00;02.01.2023 09:00:00;57;400;0;0;145.98;145.98;145.98
02.01.2023 09:00:00;02.01.2023 10:00:00;55;404;0;0;125;125;148.95
02.01.2023 10:00:00;02.01.2023 11:00:00;60;399;0;0;115.09;115.09;149.96
02.01.2023 11:00:00;02.01.2023 12:00:00;59;399;0;16.9;120;153.5;153.5
02.01.2023 12:00:00;02.01.2023 13:00:00;59;399;0;87.4;148.69;175;175
02.01.2023 13:00:00;02.01.2023 14:00:00;54;405;0;35;148.06;160;160
02.01.2023 14:00:00;02.01.2023 15:00:00;84;367;0;0;122;122;152.44
02.01.2023 15:00:00;02.01.2023 16:00:00;84;363;0;0;128;128;155.34
02.01.2023 16:00:00;02.01.2023 17:00:00;119;283;0;0;162.89;162.89;162.89
02.01.2023 17:00:00;02.01.2023 18:00:00;160;250;0;0;170;175.01;175.01
02.01.2023 18:00:00;02.01.2023 19:00:00;160;250;0;25.3;174.74;189;189
02.01.2023 19:00:00;02.01.2023 20:00:00;160;250;0;0;164.46;164.46;164.46
02.01.2023 20:00:00;02.01.2023 21:00:00;102;362;0;0;153;153;153
02.01.2023 21:00:00;02.01.2023 22:00:00;84;405;0;0;119;119;141.94
02.01.2023 22:00:00;02.01.2023 23:00:00;59;435;0;0;118;118;137.72
02.01.2023 23:00:00;03.01.2023 00:00:00;59;435;0;0;118;118;129.7
03.01.2023 00:00:00;03.01.2023 01:00:00;158;393;0;0;134.04;134.04;134.04
03.01.2023 01:00:00;03.01.2023 02:00:00;146;393;0;0;123.97;123.97;123.97
03.01.2023 02:00:00;03.01.2023 03:00:00;173;383;0;0;122.56;122.56;122.56
03.01.2023 03:00:00;03.01.2023 04:00:00;174;393;0;0;118.8;118.8;118.8
03.01.2023 04:00:00;03.01.2023 05:00:00;149;377;0;0;117.39;117.39;117.39
03.01.2023 05:00:00;03.01.2023 06:00:00;200;398;0;0;126.35;126.35;126.35
03.01.2023 06:00:00;03.01.2023 07:00:00;195;398;0;0;136.07;152;152
03.01.2023 07:00:00;03.01.2023 08:00:00;183;362;0;102.4;154.96;210;210
03.01.2023 08:00:00;03.01.2023 09:00:00;171;273;0;117;163.92;210;210
03.01.2023 09:00:00;03.01.2023 10:00:00;138;250;0;109;167.07;199;199
03.01.2023 10:00:00;03.01.2023 11:00:00;166;273;0;109;168.57;197;197
03.01.2023 11:00:00;03.01.2023 12:00:00;138;293;0;98.6;169.49;196;196
03.01.2023 12:00:00;03.01.2023 13:00:00;118;303;0;0;164.5;184.5;184.5
03.01.2023 13:00:00;03.01.2023 14:00:00;117;306;0;0;160.91;180;180
03.01.2023 14:00:00;03.01.2023 15:00:00;153;273;0;53.2;163.06;201;201
03.01.2023 15:00:00;03.01.2023 16:00:00;153;273;0;76;167.73;200;200
03.01.2023 16:00:00;03.01.2023 17:00:00;153;273;0;76;166.61;197;197
03.01.2023 17:00:00;03.01.2023 18:00:00;166;260;0;88.8;170.72;212.5;212.5
03.01.2023 18:00:00;03.01.2023 19:00:00;153;273;0;92.5;168.93;212.5;212.5
03.01.2023 19:00:00;03.01.2023 20:00:00;152;273;0;0;160.99;180;180
03.01.2023 20:00:00;03.01.2023 21:00:00;100;344;0;0;149.62;149.62;149.62
03.01.2023 21:00:00;03.01.2023 22:00:00;100;332;0;0;132.5;132.5;132.5
03.01.2023 22:00:00;03.01.2023 23:00:00;100;344;0;0;120.64;122.62;122.62
03.01.2023 23:00:00;04.01.2023 00:00:00;35;439;0;0;100.37;122.6;122.6
04.01.2023 00:00:00;04.01.2023 01:00:00;40;536;0;91;92.56;105;105
04.01.2023 01:00:00;04.01.2023 02:00:00;31;595;0;150;84.93;105;105
04.01.2023 02:00:00;04.01.2023 03:00:00;31;595;0;0;69.93;99.73;99.73
04.01.2023 03:00:00;04.01.2023 04:00:00;39;594;0;0;69.26;82.07;82.07
04.01.2023 04:00:00;04.01.2023 05:00:00;39;594;0;0;58;58;71.75
04.01.2023 05:00:00;04.01.2023 06:00:00;69;599;0;0;45;45;81.73
04.01.2023 06:00:00;04.01.2023 07:00:00;107;516;0;0;87.44;99.99;99.99
04.01.2023 07:00:00;04.01.2023 08:00:00;178;355;0;0;105.06;137.5;137.5
04.01.2023 08:00:00;04.01.2023 09:00:00;214;355;0;0;114.96;137.5;137.5
04.01.2023 09:00:00;04.01.2023 10:00:00;236;355;0;0;125.45;154.34;154.34
04.01.2023 10:00:00;04.01.2023 11:00:00;240;355;0;0;126.99;154.34;154.34
