feature_a,feature_b,corr
month_cos,month_sin,0.9999999999999968
Accepted Imbalance Ratio,Accepted Up Share,0.9999988558622774
Wind Production,Wind Share,0.9890068827508498
Import/Consumption,Net Import,0.9793931744227552
Consumption,Residual Load,0.9315038926027509
