Activation,Count,wind_da Mean,wind_id Mean,wind_actual Mean,wind_revision Mean,wind_error_da Mean,wind_error_id Mean,wind_share Mean,wind_actual_ramp_1h Mean,wind_revision_ramp_1h Mean
none,37283,123.08697832506826,142.3820327995743,120.26581234160341,12.815393546514441,-1.8574884381790828,1.8824106235789269,0.05294137094627457,0.040749612279384145,-0.07016694894749577
down,20006,113.98294515802377,119.7976662428005,116.1744706380086,12.13239584112499,4.299021478441614,5.391019522776573,0.054335470641453866,0.0019147208837348821,-0.08333956759183063
up,8271,133.07067181852176,151.62489862124897,131.01431079409988,12.89639091646391,-1.4903739249657235,0.978250202757502,0.05670163413033517,-0.17783362542331882,0.48682076236820765
