"ISP (UTC)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2025 00:00 - 01/01/2025 01:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 00:00 - 01/01/2025 01:00","MBA|NO1","aFRR","15.00","0.00","30.00","19.04"
"01/01/2025 00:00 - 01/01/2025 01:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 00:00 - 01/01/2025 01:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 01:00 - 01/01/2025 02:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 01:00 - 01/01/2025 02:00","MBA|NO1","aFRR","15.00","10.98","30.00","0.69"
"01/01/2025 01:00 - 01/01/2025 02:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 01:00 - 01/01/2025 02:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 02:00 - 01/01/2025 03:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 02:00 - 01/01/2025 03:00","MBA|NO1","aFRR","15.00","1.50","30.00","9.37"
"01/01/2025 02:00 - 01/01/2025 03:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 02:00 - 01/01/2025 03:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 03:00 - 01/01/2025 04:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 03:00 - 01/01/2025 04:00","MBA|NO1","aFRR","15.00","11.67","30.00","2.30"
"01/01/2025 03:00 - 01/01/2025 04:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 03:00 - 01/01/2025 04:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 04:00 - 01/01/2025 05:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 04:00 - 01/01/2025 05:00","MBA|NO1","aFRR","30.00","15.38","30.00","0.89"
"01/01/2025 04:00 - 01/01/2025 05:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 04:00 - 01/01/2025 05:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 05:00 - 01/01/2025 06:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 05:00 - 01/01/2025 06:00","MBA|NO1","aFRR","30.00","0.06","41.00","36.32"
"01/01/2025 05:00 - 01/01/2025 06:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 05:00 - 01/01/2025 06:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 06:00 - 01/01/2025 07:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 06:00 - 01/01/2025 07:00","MBA|NO1","aFRR","30.00","0.00","30.00","28.09"
"01/01/2025 06:00 - 01/01/2025 07:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 06:00 - 01/01/2025 07:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 07:00 - 01/01/2025 08:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 07:00 - 01/01/2025 08:00","MBA|NO1","aFRR","30.00","0.00","31.00","14.61"
"01/01/2025 07:00 - 01/01/2025 08:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 07:00 - 01/01/2025 08:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 08:00 - 01/01/2025 09:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 08:00 - 01/01/2025 09:00","MBA|NO1","aFRR","30.00","0.00","30.00","27.55"
"01/01/2025 08:00 - 01/01/2025 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 08:00 - 01/01/2025 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 09:00 - 01/01/2025 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 09:00 - 01/01/2025 10:00","MBA|NO1","aFRR","30.00","12.10","30.00","10.58"
"01/01/2025 09:00 - 01/01/2025 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 09:00 - 01/01/2025 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 10:00 - 01/01/2025 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 10:00 - 01/01/2025 11:00","MBA|NO1","aFRR","30.00","28.61","30.00","0.00"
"01/01/2025 10:00 - 01/01/2025 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 10:00 - 01/01/2025 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 11:00 - 01/01/2025 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 11:00 - 01/01/2025 12:00","MBA|NO1","aFRR","30.00","14.52","30.00","7.07"
"01/01/2025 11:00 - 01/01/2025 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 11:00 - 01/01/2025 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 12:00 - 01/01/2025 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 12:00 - 01/01/2025 13:00","MBA|NO1","aFRR","30.00","0.00","30.00","21.76"
"01/01/2025 12:00 - 01/01/2025 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 12:00 - 01/01/2025 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 13:00 - 01/01/2025 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 13:00 - 01/01/2025 14:00","MBA|NO1","aFRR","30.00","0.70","30.00","22.26"
"01/01/2025 13:00 - 01/01/2025 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 13:00 - 01/01/2025 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 14:00 - 01/01/2025 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 14:00 - 01/01/2025 15:00","MBA|NO1","aFRR","30.00","1.78","30.00","16.74"
"01/01/2025 14:00 - 01/01/2025 15:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 14:00 - 01/01/2025 15:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 15:00 - 01/01/2025 16:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 15:00 - 01/01/2025 16:00","MBA|NO1","aFRR","30.00","0.00","32.00","31.12"
"01/01/2025 15:00 - 01/01/2025 16:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 15:00 - 01/01/2025 16:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 16:00 - 01/01/2025 17:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 16:00 - 01/01/2025 17:00","MBA|NO1","aFRR","30.00","0.00","45.00","37.74"
"01/01/2025 16:00 - 01/01/2025 17:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 16:00 - 01/01/2025 17:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 17:00 - 01/01/2025 18:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 17:00 - 01/01/2025 18:00","MBA|NO1","aFRR","30.00","9.77","45.00","5.83"
"01/01/2025 17:00 - 01/01/2025 18:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 17:00 - 01/01/2025 18:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 18:00 - 01/01/2025 19:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 18:00 - 01/01/2025 19:00","MBA|NO1","aFRR","30.00","0.00","45.00","33.43"
"01/01/2025 18:00 - 01/01/2025 19:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 18:00 - 01/01/2025 19:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 19:00 - 01/01/2025 20:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 19:00 - 01/01/2025 20:00","MBA|NO1","aFRR","30.00","0.00","45.00","35.09"
"01/01/2025 19:00 - 01/01/2025 20:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 19:00 - 01/01/2025 20:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 20:00 - 01/01/2025 21:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 20:00 - 01/01/2025 21:00","MBA|NO1","aFRR","30.00","0.00","45.00","38.54"
"01/01/2025 20:00 - 01/01/2025 21:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 20:00 - 01/01/2025 21:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 21:00 - 01/01/2025 22:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 21:00 - 01/01/2025 22:00","MBA|NO1","aFRR","30.00","8.93","45.00","10.76"
"01/01/2025 21:00 - 01/01/2025 22:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 21:00 - 01/01/2025 22:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 22:00 - 01/01/2025 23:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 22:00 - 01/01/2025 23:00","MBA|NO1","aFRR","30.00","0.00","30.00","28.92"
"01/01/2025 22:00 - 01/01/2025 23:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 22:00 - 01/01/2025 23:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"01/01/2025 23:00 - 02/01/2025 00:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"01/01/2025 23:00 - 02/01/2025 00:00","MBA|NO1","aFRR","30.00","7.61","0.00","0.06"
"01/01/2025 23:00 - 02/01/2025 00:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"01/01/2025 23:00 - 02/01/2025 00:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 00:00 - 02/01/2025 01:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 00:00 - 02/01/2025 01:00","MBA|NO1","aFRR","30.00","10.17","25.00","9.15"
"02/01/2025 00:00 - 02/01/2025 01:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 00:00 - 02/01/2025 01:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 01:00 - 02/01/2025 02:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 01:00 - 02/01/2025 02:00","MBA|NO1","aFRR","30.00","1.03","45.00","24.51"
"02/01/2025 01:00 - 02/01/2025 02:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 01:00 - 02/01/2025 02:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
