"ISP (UTC)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"02/01/2025 02:00 - 02/01/2025 03:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 02:00 - 02/01/2025 03:00","MBA|NO1","aFRR","30.00","0.00","45.00","39.97"
"02/01/2025 02:00 - 02/01/2025 03:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 02:00 - 02/01/2025 03:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 03:00 - 02/01/2025 04:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 03:00 - 02/01/2025 04:00","MBA|NO1","aFRR","30.00","0.06","45.00","25.13"
"02/01/2025 03:00 - 02/01/2025 04:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 03:00 - 02/01/2025 04:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 04:00 - 02/01/2025 05:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 04:00 - 02/01/2025 05:00","MBA|NO1","aFRR","30.00","10.19","45.00","7.06"
"02/01/2025 04:00 - 02/01/2025 05:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 04:00 - 02/01/2025 05:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 05:00 - 02/01/2025 06:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 05:00 - 02/01/2025 06:00","MBA|NO1","aFRR","30.00","2.79","45.00","19.45"
"02/01/2025 05:00 - 02/01/2025 06:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 05:00 - 02/01/2025 06:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 06:00 - 02/01/2025 07:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 06:00 - 02/01/2025 07:00","MBA|NO1","aFRR","30.00","0.00","45.00","43.96"
"02/01/2025 06:00 - 02/01/2025 07:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 06:00 - 02/01/2025 07:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 07:00 - 02/01/2025 08:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 07:00 - 02/01/2025 08:00","MBA|NO1","aFRR","30.00","0.00","45.00","39.12"
"02/01/2025 07:00 - 02/01/2025 08:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 07:00 - 02/01/2025 08:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 08:00 - 02/01/2025 09:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 08:00 - 02/01/2025 09:00","MBA|NO1","aFRR","11.00","9.30","45.00","2.88"
"02/01/2025 08:00 - 02/01/2025 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 08:00 - 02/01/2025 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 09:00 - 02/01/2025 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 09:00 - 02/01/2025 10:00","MBA|NO1","aFRR","15.00","5.00","45.00","13.81"
"02/01/2025 09:00 - 02/01/2025 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 09:00 - 02/01/2025 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 10:00 - 02/01/2025 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 10:00 - 02/01/2025 11:00","MBA|NO1","aFRR","11.00","0.31","45.00","32.99"
"02/01/2025 10:00 - 02/01/2025 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 10:00 - 02/01/2025 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 11:00 - 02/01/2025 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 11:00 - 02/01/2025 12:00","MBA|NO1","aFRR","15.00","0.00","45.00","41.55"
"02/01/2025 11:00 - 02/01/2025 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 11:00 - 02/01/2025 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 12:00 - 02/01/2025 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 12:00 - 02/01/2025 13:00","MBA|NO1","aFRR","15.00","3.01","45.00","8.83"
"02/01/2025 12:00 - 02/01/2025 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 12:00 - 02/01/2025 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 13:00 - 02/01/2025 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 13:00 - 02/01/2025 14:00","MBA|NO1","aFRR","15.00","13.73","45.00","0.23"
"02/01/2025 13:00 - 02/01/2025 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 13:00 - 02/01/2025 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 14:00 - 02/01/2025 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 14:00 - 02/01/2025 15:00","MBA|NO1","aFRR","15.00","14.76","45.00","0.00"
"02/01/2025 14:00 - 02/01/2025 15:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 14:00 - 02/01/2025 15:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 15:00 - 02/01/2025 16:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 15:00 - 02/01/2025 16:00","MBA|NO1","aFRR","30.00","3.14","45.00","24.15"
"02/01/2025 15:00 - 02/01/2025 16:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 15:00 - 02/01/2025 16:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 16:00 - 02/01/2025 17:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 16:00 - 02/01/2025 17:00","MBA|NO1","aFRR","30.00","2.22","45.00","21.58"
"02/01/2025 16:00 - 02/01/2025 17:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 16:00 - 02/01/2025 17:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 17:00 - 02/01/2025 18:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 17:00 - 02/01/2025 18:00","MBA|NO1","aFRR","16.00","0.00","45.00","36.26"
"02/01/2025 17:00 - 02/01/2025 18:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 17:00 - 02/01/2025 18:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 18:00 - 02/01/2025 19:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 18:00 - 02/01/2025 19:00","MBA|NO1","aFRR","30.00","19.29","45.00","1.51"
"02/01/2025 18:00 - 02/01/2025 19:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 18:00 - 02/01/2025 19:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 19:00 - 02/01/2025 20:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 19:00 - 02/01/2025 20:00","MBA|NO1","aFRR","15.00","0.24","45.00","34.05"
"02/01/2025 19:00 - 02/01/2025 20:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 19:00 - 02/01/2025 20:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 20:00 - 02/01/2025 21:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 20:00 - 02/01/2025 21:00","MBA|NO1","aFRR","15.00","7.14","45.00","2.70"
"02/01/2025 20:00 - 02/01/2025 21:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 20:00 - 02/01/2025 21:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 21:00 - 02/01/2025 22:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 21:00 - 02/01/2025 22:00","MBA|NO1","aFRR","30.00","17.80","45.00","8.29"
"02/01/2025 21:00 - 02/01/2025 22:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 21:00 - 02/01/2025 22:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 22:00 - 02/01/2025 23:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 22:00 - 02/01/2025 23:00","MBA|NO1","aFRR","30.00","0.28","45.00","28.03"
"02/01/2025 22:00 - 02/01/2025 23:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 22:00 - 02/01/2025 23:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2025 23:00 - 03/01/2025 00:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2025 23:00 - 03/01/2025 00:00","MBA|NO1","aFRR","0.00","0.00","30.00","16.04"
"02/01/2025 23:00 - 03/01/2025 00:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2025 23:00 - 03/01/2025 00:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 00:00 - 03/01/2025 01:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 00:00 - 03/01/2025 01:00","MBA|NO1","aFRR","0.00","0.00","30.00","26.82"
"03/01/2025 00:00 - 03/01/2025 01:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 00:00 - 03/01/2025 01:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 01:00 - 03/01/2025 02:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 01:00 - 03/01/2025 02:00","MBA|NO1","aFRR","0.00","0.00","30.00","25.26"
"03/01/2025 01:00 - 03/01/2025 02:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 01:00 - 03/01/2025 02:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 02:00 - 03/01/2025 03:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 02:00 - 03/01/2025 03:00","MBA|NO1","aFRR","0.00","0.00","30.00","14.46"
"03/01/2025 02:00 - 03/01/2025 03:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 02:00 - 03/01/2025 03:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 03:00 - 03/01/2025 04:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 03:00 - 03/01/2025 04:00","MBA|NO1","aFRR","0.00","0.00","30.00","29.88"
"03/01/2025 03:00 - 03/01/2025 04:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 03:00 - 03/01/2025 04:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 04:00 - 03/01/2025 05:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 04:00 - 03/01/2025 05:00","MBA|NO1","aFRR","0.00","0.00","30.00","18.39"
"03/01/2025 04:00 - 03/01/2025 05:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 04:00 - 03/01/2025 05:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 05:00 - 03/01/2025 06:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 05:00 - 03/01/2025 06:00","MBA|NO1","aFRR","0.00","0.00","30.00","9.93"
"03/01/2025 05:00 - 03/01/2025 06:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 05:00 - 03/01/2025 06:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 06:00 - 03/01/2025 07:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 06:00 - 03/01/2025 07:00","MBA|NO1","aFRR","0.00","0.00","30.00","12.93"
"03/01/2025 06:00 - 03/01/2025 07:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 06:00 - 03/01/2025 07:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 07:00 - 03/01/2025 08:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 07:00 - 03/01/2025 08:00","MBA|NO1","aFRR","0.00","0.00","30.00","2.22"
"03/01/2025 07:00 - 03/01/2025 08:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 07:00 - 03/01/2025 08:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 08:00 - 03/01/2025 09:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 08:00 - 03/01/2025 09:00","MBA|NO1","aFRR","0.00","0.00","30.00","19.36"
"03/01/2025 08:00 - 03/01/2025 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 08:00 - 03/01/2025 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 09:00 - 03/01/2025 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 09:00 - 03/01/2025 10:00","MBA|NO1","aFRR","0.00","0.00","30.00","7.57"
"03/01/2025 09:00 - 03/01/2025 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 09:00 - 03/01/2025 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 10:00 - 03/01/2025 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 10:00 - 03/01/2025 11:00","MBA|NO1","aFRR","0.00","0.00","30.00","15.85"
"03/01/2025 10:00 - 03/01/2025 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 10:00 - 03/01/2025 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 11:00 - 03/01/2025 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 11:00 - 03/01/2025 12:00","MBA|NO1","aFRR","0.00","0.00","30.00","11.11"
"03/01/2025 11:00 - 03/01/2025 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 11:00 - 03/01/2025 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 12:00 - 03/01/2025 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 12:00 - 03/01/2025 13:00","MBA|NO1","aFRR","0.00","0.00","30.00","26.31"
"03/01/2025 12:00 - 03/01/2025 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 12:00 - 03/01/2025 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 13:00 - 03/01/2025 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 13:00 - 03/01/2025 14:00","MBA|NO1","aFRR","0.00","0.00","30.00","24.17"
"03/01/2025 13:00 - 03/01/2025 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 13:00 - 03/01/2025 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 14:00 - 03/01/2025 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2025 14:00 - 03/01/2025 15:00","MBA|NO1","aFRR","0.00","0.00","30.00","27.73"
"03/01/2025 14:00 - 03/01/2025 15:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2025 14:00 - 03/01/2025 15:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2025 15:00 - 03/01/2025 16:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
