"ISP (UTC)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"09/04/2024 01:00 - 09/04/2024 02:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 02:00 - 09/04/2024 03:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 02:00 - 09/04/2024 03:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"09/04/2024 02:00 - 09/04/2024 03:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 02:00 - 09/04/2024 03:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 03:00 - 09/04/2024 04:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 03:00 - 09/04/2024 04:00","MBA|NO1","aFRR","30.00","3.49","0.00","0.00"
"09/04/2024 03:00 - 09/04/2024 04:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 03:00 - 09/04/2024 04:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 04:00 - 09/04/2024 05:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 04:00 - 09/04/2024 05:00","MBA|NO1","aFRR","30.00","1.38","0.00","0.00"
"09/04/2024 04:00 - 09/04/2024 05:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 04:00 - 09/04/2024 05:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 05:00 - 09/04/2024 06:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 05:00 - 09/04/2024 06:00","MBA|NO1","aFRR","30.00","0.00","0.00","0.00"
"09/04/2024 05:00 - 09/04/2024 06:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 05:00 - 09/04/2024 06:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 06:00 - 09/04/2024 07:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 06:00 - 09/04/2024 07:00","MBA|NO1","aFRR","30.00","0.00","0.00","0.00"
"09/04/2024 06:00 - 09/04/2024 07:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 06:00 - 09/04/2024 07:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 07:00 - 09/04/2024 08:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 07:00 - 09/04/2024 08:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"09/04/2024 07:00 - 09/04/2024 08:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 07:00 - 09/04/2024 08:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 08:00 - 09/04/2024 09:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 08:00 - 09/04/2024 09:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"09/04/2024 08:00 - 09/04/2024 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 08:00 - 09/04/2024 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 09:00 - 09/04/2024 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 09:00 - 09/04/2024 10:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"09/04/2024 09:00 - 09/04/2024 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 09:00 - 09/04/2024 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 10:00 - 09/04/2024 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 10:00 - 09/04/2024 11:00","MBA|NO1","aFRR","15.00","0.60","0.00","0.00"
"09/04/2024 10:00 - 09/04/2024 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 10:00 - 09/04/2024 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 11:00 - 09/04/2024 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 11:00 - 09/04/2024 12:00","MBA|NO1","aFRR","30.00","0.00","0.00","0.00"
"09/04/2024 11:00 - 09/04/2024 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 11:00 - 09/04/2024 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 12:00 - 09/04/2024 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 12:00 - 09/04/2024 13:00","MBA|NO1","aFRR","30.00","8.89","15.00","3.52"
"09/04/2024 12:00 - 09/04/2024 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 12:00 - 09/04/2024 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 13:00 - 09/04/2024 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 13:00 - 09/04/2024 14:00","MBA|NO1","aFRR","30.00","19.97","0.00","0.00"
"09/04/2024 13:00 - 09/04/2024 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 13:00 - 09/04/2024 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 14:00 - 09/04/2024 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 14:00 - 09/04/2024 15:00","MBA|NO1","aFRR","30.00","6.93","0.00","0.00"
"09/04/2024 14:00 - 09/04/2024 15:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 14:00 - 09/04/2024 15:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 15:00 - 09/04/2024 16:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 15:00 - 09/04/2024 16:00","MBA|NO1","aFRR","15.00","5.17","0.00","0.00"
"09/04/2024 15:00 - 09/04/2024 16:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 15:00 - 09/04/2024 16:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 16:00 - 09/04/2024 17:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 16:00 - 09/04/2024 17:00","MBA|NO1","aFRR","30.00","0.29","0.00","0.00"
"09/04/2024 16:00 - 09/04/2024 17:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 16:00 - 09/04/2024 17:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 17:00 - 09/04/2024 18:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 17:00 - 09/04/2024 18:00","MBA|NO1","aFRR","30.00","3.73","0.00","0.00"
"09/04/2024 17:00 - 09/04/2024 18:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 17:00 - 09/04/2024 18:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 18:00 - 09/04/2024 19:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 18:00 - 09/04/2024 19:00","MBA|NO1","aFRR","30.00","0.00","0.00","0.00"
"09/04/2024 18:00 - 09/04/2024 19:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 18:00 - 09/04/2024 19:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 19:00 - 09/04/2024 20:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 19:00 - 09/04/2024 20:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"09/04/2024 19:00 - 09/04/2024 20:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 19:00 - 09/04/2024 20:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 20:00 - 09/04/2024 21:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 20:00 - 09/04/2024 21:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"09/04/2024 20:00 - 09/04/2024 21:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 20:00 - 09/04/2024 21:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 21:00 - 09/04/2024 22:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 21:00 - 09/04/2024 22:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"09/04/2024 21:00 - 09/04/2024 22:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 21:00 - 09/04/2024 22:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 22:00 - 09/04/2024 23:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 22:00 - 09/04/2024 23:00","MBA|NO1","aFRR","15.00","4.73","0.00","0.00"
"09/04/2024 22:00 - 09/04/2024 23:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 22:00 - 09/04/2024 23:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"09/04/2024 23:00 - 10/04/2024 00:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"09/04/2024 23:00 - 10/04/2024 00:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"09/04/2024 23:00 - 10/04/2024 00:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"09/04/2024 23:00 - 10/04/2024 00:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 00:00 - 10/04/2024 01:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 00:00 - 10/04/2024 01:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"10/04/2024 00:00 - 10/04/2024 01:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 00:00 - 10/04/2024 01:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 01:00 - 10/04/2024 02:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 01:00 - 10/04/2024 02:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"10/04/2024 01:00 - 10/04/2024 02:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 01:00 - 10/04/2024 02:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 02:00 - 10/04/2024 03:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 02:00 - 10/04/2024 03:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"10/04/2024 02:00 - 10/04/2024 03:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 02:00 - 10/04/2024 03:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 03:00 - 10/04/2024 04:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 03:00 - 10/04/2024 04:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"10/04/2024 03:00 - 10/04/2024 04:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 03:00 - 10/04/2024 04:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 04:00 - 10/04/2024 05:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 04:00 - 10/04/2024 05:00","MBA|NO1","aFRR","30.00","0.70","0.00","0.00"
"10/04/2024 04:00 - 10/04/2024 05:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 04:00 - 10/04/2024 05:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 05:00 - 10/04/2024 06:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 05:00 - 10/04/2024 06:00","MBA|NO1","aFRR","30.00","9.08","0.00","0.00"
"10/04/2024 05:00 - 10/04/2024 06:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 05:00 - 10/04/2024 06:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 06:00 - 10/04/2024 07:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 06:00 - 10/04/2024 07:00","MBA|NO1","aFRR","30.00","0.00","0.00","0.00"
"10/04/2024 06:00 - 10/04/2024 07:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 06:00 - 10/04/2024 07:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 07:00 - 10/04/2024 08:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 07:00 - 10/04/2024 08:00","MBA|NO1","aFRR","30.00","0.00","0.00","0.00"
"10/04/2024 07:00 - 10/04/2024 08:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 07:00 - 10/04/2024 08:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 08:00 - 10/04/2024 09:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 08:00 - 10/04/2024 09:00","MBA|NO1","aFRR","15.00","2.00","0.00","0.00"
"10/04/2024 08:00 - 10/04/2024 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 08:00 - 10/04/2024 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 09:00 - 10/04/2024 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 09:00 - 10/04/2024 10:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"10/04/2024 09:00 - 10/04/2024 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 09:00 - 10/04/2024 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 10:00 - 10/04/2024 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 10:00 - 10/04/2024 11:00","MBA|NO1","aFRR","15.00","3.32","14.00","4.01"
"10/04/2024 10:00 - 10/04/2024 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 10:00 - 10/04/2024 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 11:00 - 10/04/2024 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 11:00 - 10/04/2024 12:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.04"
"10/04/2024 11:00 - 10/04/2024 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 11:00 - 10/04/2024 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 12:00 - 10/04/2024 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 12:00 - 10/04/2024 13:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"10/04/2024 12:00 - 10/04/2024 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 12:00 - 10/04/2024 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 13:00 - 10/04/2024 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 13:00 - 10/04/2024 14:00","MBA|NO1","aFRR","15.00","13.24","0.00","0.00"
"10/04/2024 13:00 - 10/04/2024 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 13:00 - 10/04/2024 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 14:00 - 10/04/2024 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 14:00 - 10/04/2024 15:00","MBA|NO1","aFRR","15.00","2.80","0.00","0.00"
"10/04/2024 14:00 - 10/04/2024 15:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 14:00 - 10/04/2024 15:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 15:00 - 10/04/2024 16:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 15:00 - 10/04/2024 16:00","MBA|NO1","aFRR","15.00","11.22","0.00","0.00"
"10/04/2024 15:00 - 10/04/2024 16:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 15:00 - 10/04/2024 16:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 16:00 - 10/04/2024 17:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 16:00 - 10/04/2024 17:00","MBA|NO1","aFRR","15.00","10.76","0.00","0.00"
"10/04/2024 16:00 - 10/04/2024 17:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 16:00 - 10/04/2024 17:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 17:00 - 10/04/2024 18:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 17:00 - 10/04/2024 18:00","MBA|NO1","aFRR","15.00","0.04","0.00","0.00"
"10/04/2024 17:00 - 10/04/2024 18:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 17:00 - 10/04/2024 18:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 18:00 - 10/04/2024 19:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 18:00 - 10/04/2024 19:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"10/04/2024 18:00 - 10/04/2024 19:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 18:00 - 10/04/2024 19:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 19:00 - 10/04/2024 20:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 19:00 - 10/04/2024 20:00","MBA|NO1","aFRR","15.00","6.11","0.00","0.00"
"10/04/2024 19:00 - 10/04/2024 20:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 19:00 - 10/04/2024 20:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 20:00 - 10/04/2024 21:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 20:00 - 10/04/2024 21:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"10/04/2024 20:00 - 10/04/2024 21:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 20:00 - 10/04/2024 21:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 21:00 - 10/04/2024 22:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 21:00 - 10/04/2024 22:00","MBA|NO1","aFRR","15.00","0.82","0.00","0.00"
"10/04/2024 21:00 - 10/04/2024 22:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 21:00 - 10/04/2024 22:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 22:00 - 10/04/2024 23:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 22:00 - 10/04/2024 23:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"10/04/2024 22:00 - 10/04/2024 23:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 22:00 - 10/04/2024 23:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"10/04/2024 23:00 - 11/04/2024 00:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"10/04/2024 23:00 - 11/04/2024 00:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"10/04/2024 23:00 - 11/04/2024 00:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"10/04/2024 23:00 - 11/04/2024 00:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 00:00 - 11/04/2024 01:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 00:00 - 11/04/2024 01:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"11/04/2024 00:00 - 11/04/2024 01:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 00:00 - 11/04/2024 01:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 01:00 - 11/04/2024 02:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 01:00 - 11/04/2024 02:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"11/04/2024 01:00 - 11/04/2024 02:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 01:00 - 11/04/2024 02:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 02:00 - 11/04/2024 03:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 02:00 - 11/04/2024 03:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"11/04/2024 02:00 - 11/04/2024 03:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 02:00 - 11/04/2024 03:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 03:00 - 11/04/2024 04:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 03:00 - 11/04/2024 04:00","MBA|NO1","aFRR","15.00","6.23","0.00","0.00"
"11/04/2024 03:00 - 11/04/2024 04:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 03:00 - 11/04/2024 04:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 04:00 - 11/04/2024 05:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 04:00 - 11/04/2024 05:00","MBA|NO1","aFRR","15.00","8.30","0.00","0.00"
"11/04/2024 04:00 - 11/04/2024 05:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 04:00 - 11/04/2024 05:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 05:00 - 11/04/2024 06:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 05:00 - 11/04/2024 06:00","MBA|NO1","aFRR","15.00","2.24","0.00","0.00"
"11/04/2024 05:00 - 11/04/2024 06:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 05:00 - 11/04/2024 06:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 06:00 - 11/04/2024 07:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 06:00 - 11/04/2024 07:00","MBA|NO1","aFRR","15.00","0.73","0.00","0.00"
"11/04/2024 06:00 - 11/04/2024 07:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 06:00 - 11/04/2024 07:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 07:00 - 11/04/2024 08:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 07:00 - 11/04/2024 08:00","MBA|NO1","aFRR","15.00","1.44","0.00","0.00"
"11/04/2024 07:00 - 11/04/2024 08:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 07:00 - 11/04/2024 08:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 08:00 - 11/04/2024 09:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 08:00 - 11/04/2024 09:00","MBA|NO1","aFRR","15.00","11.82","0.00","0.00"
"11/04/2024 08:00 - 11/04/2024 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 08:00 - 11/04/2024 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 09:00 - 11/04/2024 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 09:00 - 11/04/2024 10:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"11/04/2024 09:00 - 11/04/2024 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 09:00 - 11/04/2024 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 10:00 - 11/04/2024 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 10:00 - 11/04/2024 11:00","MBA|NO1","aFRR","15.00","0.58","0.00","0.00"
"11/04/2024 10:00 - 11/04/2024 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 10:00 - 11/04/2024 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 11:00 - 11/04/2024 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 11:00 - 11/04/2024 12:00","MBA|NO1","aFRR","15.00","0.00","15.00","10.58"
"11/04/2024 11:00 - 11/04/2024 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 11:00 - 11/04/2024 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 12:00 - 11/04/2024 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 12:00 - 11/04/2024 13:00","MBA|NO1","aFRR","15.00","0.00","15.00","12.85"
"11/04/2024 12:00 - 11/04/2024 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 12:00 - 11/04/2024 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 13:00 - 11/04/2024 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 13:00 - 11/04/2024 14:00","MBA|NO1","aFRR","15.00","4.05","0.00","0.05"
"11/04/2024 13:00 - 11/04/2024 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 13:00 - 11/04/2024 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 14:00 - 11/04/2024 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 14:00 - 11/04/2024 15:00","MBA|NO1","aFRR","15.00","0.09","0.00","0.00"
"11/04/2024 14:00 - 11/04/2024 15:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 14:00 - 11/04/2024 15:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 15:00 - 11/04/2024 16:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 15:00 - 11/04/2024 16:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"11/04/2024 15:00 - 11/04/2024 16:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 15:00 - 11/04/2024 16:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 16:00 - 11/04/2024 17:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 16:00 - 11/04/2024 17:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
"11/04/2024 16:00 - 11/04/2024 17:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"11/04/2024 16:00 - 11/04/2024 17:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"11/04/2024 17:00 - 11/04/2024 18:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"11/04/2024 17:00 - 11/04/2024 18:00","MBA|NO1","aFRR","15.00","0.00","0.00","0.00"
