Delivery Start (CET);Delivery End (CET);NO1 NO1->NO2 Export (MW);NO1 NO2->NO1 Import (MW);NO1 NO1->NO3 Export (MW);NO1 NO3->NO1 Import (MW);NO1 NO1->NO5 Export (MW);NO1 NO5->NO1 Import (MW);NO1 NO1->SE3 Export (MW);NO1 SE3->NO1 Import (MW);NO1 Total Export (MW);NO1 Total Import (MW);NO1 Total Net Position (MW)
01.01.2025 00:00:00;01.01.2025 01:00:00;0;747;0;376;0;190.6;0;1754.5;0;3068.1;3068.1
01.01.2025 01:00:00;01.01.2025 02:00:00;0;986.1;0;256.9;0;45.6;0;1667.7;0;2956.3;2956.3
01.01.2025 02:00:00;01.01.2025 03:00:00;0;701.7;0;228.7;0;312.8;0;1784.6;0;3027.8;3027.8
01.01.2025 03:00:00;01.01.2025 04:00:00;0;541.8;0;190.4;0;419.4;0;1853.4;0;3005;3005
01.01.2025 04:00:00;01.01.2025 05:00:00;0;59.2;0;238.4;0;680.2;0;2040.8;0;3018.6;3018.6
01.01.2025 05:00:00;01.01.2025 06:00:00;88.4;0;0;229.4;0;893.9;0;2046;88.4;3169.3;3080.9
01.01.2025 06:00:00;01.01.2025 07:00:00;0;1200.8;0;212.3;0;77.5;0;1615.1;0;3105.7;3105.7
01.01.2025 07:00:00;01.01.2025 08:00:00;0;1230.3;0;258.4;0;193;0;1620.6;0;3302.3;3302.3
01.01.2025 08:00:00;01.01.2025 09:00:00;0;1030.3;0;357;0;300.7;0;1707.1;0;3395.1;3395.1
01.01.2025 09:00:00;01.01.2025 10:00:00;0;486.4;0;470.4;0;644.5;0;1910.1;0;3511.4;3511.4
01.01.2025 10:00:00;01.01.2025 11:00:00;0;231.3;0;529.5;0;969.1;0;1961;0;3690.9;3690.9
01.01.2025 11:00:00;01.01.2025 12:00:00;0;335.2;0;520.8;0;985.4;0;1927;0;3768.4;3768.4
01.01.2025 12:00:00;01.01.2025 13:00:00;0;436.2;0;537.7;0;928.3;0;1907;0;3809.2;3809.2
01.01.2025 13:00:00;01.01.2025 14:00:00;0;430.4;0;541.5;0;878.4;0;1907;0;3757.3;3757.3
01.01.2025 14:00:00;01.01.2025 15:00:00;0;382.6;0;549.6;0;907.2;0;1935;0;3774.4;3774.4
01.01.2025 15:00:00;01.01.2025 16:00:00;0;343.8;0;585.9;0;1056.2;0;1943;0;3928.9;3928.9
01.01.2025 16:00:00;01.01.2025 17:00:00;0;293.1;0;582.9;0;1168.1;0;1938;0;3982.1;3982.1
01.01.2025 17:00:00;01.01.2025 18:00:00;0;320.4;0;579.2;0;1257.8;0;1777.4;0;3934.8;3934.8
01.01.2025 18:00:00;01.01.2025 19:00:00;0;173.8;0;569.5;0;1026.2;0;2032;0;3801.5;3801.5
01.01.2025 19:00:00;01.01.2025 20:00:00;0;138.1;0;564.6;0;976.1;0;2013;0;3691.8;3691.8
01.01.2025 20:00:00;01.01.2025 21:00:00;0;173.9;0;561;0;868.5;0;2009;0;3612.4;3612.4
01.01.2025 21:00:00;01.01.2025 22:00:00;0;245.5;0;557.8;0;875;0;1989;0;3667.3;3667.3
01.01.2025 22:00:00;01.01.2025 23:00:00;0;193.4;0;558.7;0;821.4;0;1967;0;3540.5;3540.5
01.01.2025 23:00:00;02.01.2025 00:00:00;0;141.3;0;546.4;0;791.7;0;1983;0;3462.4;3462.4
02.01.2025 00:00:00;02.01.2025 01:00:00;0;234.8;0;526.8;0;646.1;0;2014;0;3421.7;3421.7
02.01.2025 01:00:00;02.01.2025 02:00:00;0;223.6;0;551.6;0;685.3;0;1970;0;3430.5;3430.5
02.01.2025 02:00:00;02.01.2025 03:00:00;0;219.7;0;565.2;0;661.6;0;1941;0;3387.5;3387.5
02.01.2025 03:00:00;02.01.2025 04:00:00;0;101.1;0;551.6;0;801.4;0;1939;0;3393.1;3393.1
02.01.2025 04:00:00;02.01.2025 05:00:00;315.8;0;0;577.1;0;1303.4;0;1892;315.8;3772.5;3456.7
02.01.2025 05:00:00;02.01.2025 06:00:00;0;462.7;0;610;0;1568.3;0;966.8;0;3607.8;3607.8
02.01.2025 06:00:00;02.01.2025 07:00:00;0;979.9;0;583.9;0;2445.4;0;63.2;0;4072.4;4072.4
02.01.2025 07:00:00;02.01.2025 08:00:00;0;1130.9;0;557.7;0;3009.9;407;0;407;4698.5;4291.5
02.01.2025 08:00:00;02.01.2025 09:00:00;0;753.9;0;576.2;0;2927.5;0;105;0;4362.6;4362.6
