Activation,Count,NO1 Volume (MW) Mean,NO1 Total (MW) Mean,NO1 Wind Onshore (MW) Mean,Reserve Margin Mean,Residual Load Mean,Wind Share Mean,Load Ramp Mean,Reserve Margin Ramp Mean
none,16323,3599.9366923972307,2258.6984076604176,126.09675191643693,-1341.238284736813,3473.839940480794,0.057624825765187467,0.14934995711309915,1.320133440264673
down,11986,3283.5724678791926,2071.1806114892374,110.60858164391792,-1212.391856389955,3172.963886235274,0.05433115503020545,1.0264925746704485,-5.304393346571
up,3777,3783.1654673020917,2266.998743180302,137.98262233995234,-1516.16672412179,3645.182844962139,0.06224297896187689,-4.094474450622187,11.725030427058513
