Metric,Mean,Std,Min,P10,P50,P90,Max,Count
NO1 Volume (MW),3503.3248831265973,1066.0856759204041,314.0,2421.0,3208.0,5112.5,8166.0,32086
NO1 Total (MW),2189.6266025850214,408.05678737266686,1110.0,1624.0,2197.0,2723.507581,3250.0,32086
NO1 Wind Onshore (MW),121.71015725531383,102.44799299728368,0.0,9.0,95.0,284.0,380.0,32086
Reserve Margin,-1313.6982805415757,1054.3470744361393,-5793.0,-2859.5,-1118.0,-227.0,2352.75,32086
Residual Load,3381.614725871283,1061.0583597830357,28.360000000000014,2308.0,3086.0,4975.0,8086.0,32086
Wind Share,0.05693807226504415,0.04925253217607003,0.0,0.004060455879982218,0.04323231088641455,0.13216222910736627,0.22828154724159797,32086
