"MTU (UTC)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|NO2","1061.81","n/e","969.02","1006.50"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|NO2","1060.64","n/e","950.17","1004.46"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|NO2","1054.53","n/e","969.73","980.69"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|NO2","1049.84","n/e","1006.62","972.73"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|NO2","1047.09","n/e","1007.97","951.33"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|NO2","1045.37","n/e","989.42","950.67"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|NO2","1016.36","n/e","824.65","927.04"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|NO2","992.38","n/e","796.53","899.34"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|NO2","972.99","n/e","790.08","944.73"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|NO2","968.52","n/e","780.80","894.44"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|NO2","947.05","n/e","748.68","866.81"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|NO2","949.38","n/e","718.76","854.54"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|NO2","917.84","n/e","683.50","774.98"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|NO2","863.77","n/e","687.58","683.92"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|NO2","840.03","n/e","679.48","638.04"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|NO2","845.63","n/e","592.30","615.74"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|NO2","843.85","n/e","594.54","642.18"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|NO2","839.61","n/e","600.18","609.26"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|NO2","708.38","n/e","604.61","613.00"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|NO2","722.23","n/e","572.50","663.22"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|NO2","735.17","n/e","602.17","701.69"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|NO2","752.92","n/e","639.14","684.56"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|NO2","769.31","n/e","653.85","701.72"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|NO2","764.51","n/e","682.08","732.59"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|NO2","761.51","n/e","690.72","734.98"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|NO2","765.21","n/e","712.14","786.58"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|NO2","775.35","n/e","723.28","786.01"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|NO2","775.55","n/e","774.00","777.10"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|NO2","777.43","n/e","758.80","817.32"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|NO2","805.35","n/e","796.91","860.51"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|NO2","851.12","n/e","768.22","874.05"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|NO2","1034.04","n/e","879.05","892.55"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|NO2","1043.70","n/e","905.18","892.49"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|NO2","1045.07","n/e","940.10","917.43"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|NO2","1058.33","n/e","961.07","938.99"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|NO2","1071.52","n/e","948.20","931.02"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|NO2","1051.05","n/e","920.44","882.60"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|NO2","1063.82","n/e","938.79","870.44"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|NO2","1053.55","n/e","892.05","913.93"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|NO2","1033.04","n/e","851.80","889.35"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|NO2","998.22","n/e","794.15","828.22"
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|NO2","928.87","n/e","803.85","744.85"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|NO2","809.32","n/e","799.73","712.20"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|NO2","808.65","n/e","774.26","707.39"
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|NO2","807.59","n/e","792.60","710.21"
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|NO2","814.38","n/e","797.80","663.71"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|NO2","816.93","n/e","816.69","789.89"
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|NO2","830.80","n/e","821.45","860.95"
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|NO2","838.32","n/e","851.45","882.22"
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|NO2","805.80","n/e","832.05","983.44"
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|NO2","799.73","n/e","851.67","976.38"
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|NO2","791.50","n/e","867.12","970.54"
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|NO2","799.95","n/e","811.17","986.28"
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|NO2","783.73","n/e","818.54","977.79"
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|NO2","725.50","n/e","817.77","948.62"
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|NO2","683.53","n/e","814.37","911.88"
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|NO2","701.10","n/e","820.58","882.05"
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|NO2","734.39","n/e","718.81","744.58"
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|NO2","767.69","n/e","885.72","746.79"
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|NO2","767.04","n/e","748.16","758.07"
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|NO2","770.30","n/e","892.82","740.40"
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|NO2","795.90","n/e","902.30","685.93"
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|NO2","824.74","n/e","896.72","839.15"
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|NO2","843.47","n/e","881.36","916.08"
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|NO2","847.16","n/e","905.30","935.88"
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|NO2","851.47","n/e","914.22","977.03"
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|NO2","928.37","n/e","895.21","957.24"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|NO2","915.70","n/e","893.83","948.42"
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|NO2","897.59","n/e","894.58","942.35"
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|NO2","886.50","n/e","896.10","926.50"
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|NO2","874.74","n/e","882.81","951.75"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|NO2","863.93","n/e","868.36","946.39"
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|NO2","836.56","n/e","857.54","917.63"
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|NO2","803.34","n/e","837.72","905.74"
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|NO2","774.79","n/e","793.78","858.85"
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|NO2","743.53","n/e","747.20","836.15"
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|NO2","691.70","n/e","714.70","776.02"
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|NO2","617.69","n/e","657.66","660.69"
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|NO2","542.55","n/e","599.00","544.52"
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|NO2","475.04","n/e","509.06","454.29"
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|NO2","432.85","n/e","423.41","405.31"
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|NO2","397.29","n/e","408.83","376.41"
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|NO2","365.10","n/e","380.28","397.27"
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|NO2","336.78","n/e","356.46","382.38"
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|NO2","317.19","n/e","341.34","378.96"
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|NO2","300.55","n/e","334.31","390.26"
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|NO2","286.13","n/e","326.87","378.12"
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|NO2","276.41","n/e","325.72","359.76"
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|NO2","262.13","n/e","299.41","320.67"
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|NO2","239.32","n/e","279.16","299.55"
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|NO2","224.26","n/e","248.73","279.84"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|NO2","193.91","n/e","210.68","221.19"
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|NO2","166.58","n/e","191.36","156.41"
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|NO2","142.03","n/e","159.94","106.44"
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|NO2","127.10","n/e","115.22","86.35"
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|NO2","115.63","n/e","110.82","94.46"
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|NO2","108.19","n/e","108.58","103.99"
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|NO2","99.20","n/e","106.29","123.54"
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|NO2","88.90","n/e","107.32","104.72"
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|NO2","83.40","n/e","101.86","83.66"
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|NO2","78.59","n/e","82.69","66.15"
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|NO2","73.52","n/e","76.41","40.56"
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|NO2","67.43","n/e","67.83","63.17"
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|NO2","59.84","n/e","52.21","67.94"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|NO2","54.50","n/e","57.21","46.22"
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|NO2","51.74","n/e","58.50","48.17"
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|NO2","51.27","n/e","60.84","43.41"
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|NO2","54.83","n/e","65.35","53.65"
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|NO2","62.77","n/e","74.51","45.73"
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|NO2","72.58","n/e","79.90","58.09"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|NO2","81.87","n/e","80.58","103.46"
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|NO2","87.41","n/e","80.78","120.87"
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|NO2","88.47","n/e","88.73","101.64"
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|NO2","86.31","n/e","105.17","103.38"
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|NO2","119.65","n/e","114.61","87.15"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|NO2","131.66","n/e","106.33","89.27"
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|NO2","136.47","n/e","101.54","71.19"
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|NO2","136.67","n/e","94.05","83.80"
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|NO2","135.75","n/e","105.87","73.78"
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|NO2","135.92","n/e","107.44","77.98"
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|NO2","138.85","n/e","117.72","123.41"
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|NO2","141.88","n/e","136.61","112.20"
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|NO2","141.71","n/e","174.97","151.03"
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|NO2","138.81","n/e","187.02","198.14"
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|NO2","131.08","n/e","182.99","180.83"
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|NO2","118.79","n/e","181.95","161.57"
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|NO2","103.50","n/e","190.77","126.68"
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|NO2","88.06","n/e","175.00","99.67"
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|NO2","79.00","n/e","129.66","91.09"
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|NO2","74.98","n/e","110.93","61.56"
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|NO2","69.62","n/e","102.38","60.07"
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|NO2","64.01","n/e","85.98","55.02"
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|NO2","59.44","n/e","69.90","51.40"
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|NO2","62.29","n/e","51.25","46.01"
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|NO2","63.00","n/e","47.83","42.32"
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|NO2","56.10","n/e","48.64","33.65"
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|NO2","51.80","n/e","36.85","20.27"
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|NO2","49.82","n/e","35.85","9.74"
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|NO2","38.18","n/e","35.45","5.80"
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|NO2","38.90","n/e","24.84","5.70"
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|NO2","42.92","n/e","28.09","4.28"
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|NO2","64.59","n/e","36.21","15.63"
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|NO2","78.23","n/e","43.66","21.19"
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|NO2","98.00","n/e","60.67","52.37"
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|NO2","123.33","n/e","77.61","107.88"
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|NO2","143.00","n/e","106.84","119.77"
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|NO2","162.30","n/e","127.57","188.50"
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|NO2","174.11","n/e","142.40","287.08"
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|NO2","175.84","n/e","154.95","265.07"
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|NO2","167.67","n/e","189.37","242.45"
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|NO2","159.83","n/e","183.00","239.39"
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|NO2","160.11","n/e","209.01","192.32"
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|NO2","169.63","n/e","227.69","263.26"
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|NO2","188.72","n/e","257.47","329.45"
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|NO2","210.23","n/e","324.14","348.81"
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|NO2","226.43","n/e","367.66","372.62"
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|NO2","239.17","n/e","391.52","385.90"
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|NO2","246.68","n/e","427.56","431.47"
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|NO2","254.82","n/e","405.89","476.69"
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|NO2","264.98","n/e","461.10","522.34"
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|NO2","280.30","n/e","493.68","504.39"
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|NO2","298.05","n/e","450.60","545.04"
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|NO2","380.03","n/e","467.59","570.35"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|NO2","350.69","n/e","477.29","539.93"
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|NO2","330.67","n/e","466.85","529.95"
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|NO2","317.19","n/e","443.93","567.96"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|NO2","336.41","n/e","452.12","562.20"
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|NO2","369.66","n/e","478.32","575.16"
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|NO2","389.74","n/e","518.31","602.97"
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|NO2","403.22","n/e","544.95","587.23"
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|NO2","418.16","n/e","533.36","549.58"
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|NO2","416.45","n/e","528.97","500.49"
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|NO2","389.95","n/e","440.10","371.12"
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|NO2","340.64","n/e","422.57","300.40"
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|NO2","274.46","n/e","349.03","240.51"
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|NO2","202.53","n/e","272.88","232.95"
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|NO2","138.46","n/e","237.10","189.50"
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|NO2","95.75","n/e","205.28","126.25"
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|NO2","66.96","n/e","136.59","80.79"
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|NO2","48.89","n/e","90.22","74.53"
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|NO2","38.27","n/e","63.56","55.71"
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|NO2","38.37","n/e","47.06","59.96"
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|NO2","32.98","n/e","41.98","61.14"
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|NO2","24.43","n/e","37.07","54.17"
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|NO2","19.36","n/e","37.04","47.94"
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|NO2","17.35","n/e","33.11","8.35"
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|NO2","30.37","n/e","40.90","2.49"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|NO2","31.42","n/e","29.52","2.02"
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|NO2","28.15","n/e","24.52","1.87"
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|NO2","22.67","n/e","18.78","1.20"
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|NO2","17.31","n/e","18.01","1.51"
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|NO2","15.88","n/e","18.97","3.33"
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|NO2","14.98","n/e","19.63","2.92"
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|NO2","14.16","n/e","19.28","9.78"
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|NO2","14.64","n/e","23.64","14.82"
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|NO2","17.74","n/e","31.40","40.04"
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|NO2","35.40","n/e","47.17","82.69"
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|NO2","56.93","n/e","70.26","138.16"
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|NO2","81.21","n/e","116.07","229.59"
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|NO2","116.57","n/e","155.50","291.64"
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|NO2","167.77","n/e","257.93","344.56"
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|NO2","229.24","n/e","339.82","331.25"
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|NO2","276.25","n/e","363.02","362.83"
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|NO2","319.63","n/e","391.65","491.71"
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|NO2","340.80","n/e","432.09","502.95"
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|NO2","360.78","n/e","464.57","442.38"
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|NO2","367.30","n/e","445.22","376.44"
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|NO2","358.60","n/e","384.36","310.75"
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|NO2","330.49","n/e","319.90","172.75"
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|NO2","291.04","n/e","265.55","124.47"
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|NO2","186.56","n/e","237.28","138.29"
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|NO2","166.06","n/e","207.57","143.08"
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|NO2","173.64","n/e","195.60","205.30"
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|NO2","218.72","n/e","276.46","323.74"
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|NO2","302.12","n/e","395.75","512.84"
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|NO2","400.90","n/e","557.25","750.17"
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|NO2","485.05","n/e","665.38","912.49"
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|NO2","517.90","n/e","767.54","945.20"
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|NO2","526.60","n/e","761.09","773.77"
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|NO2","538.46","n/e","741.09","651.42"
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|NO2","548.28","n/e","713.91","541.13"
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|NO2","549.66","n/e","640.47","481.17"
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|NO2","557.29","n/e","602.28","525.05"
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|NO2","569.68","n/e","581.71","557.64"
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|NO2","591.34","n/e","606.92","634.24"
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|NO2","615.88","n/e","650.82","679.98"
