"MTU (UTC)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|NO2","1157.44","n/e","1161.14","1202.27"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|NO2","1186.50","n/e","1172.33","1202.22"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|NO2","1196.46","n/e","1169.07","1155.26"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|NO2","1208.32","n/e","1168.46","1079.34"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|NO2","1214.69","n/e","1153.66","1163.42"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|NO2","1217.74","n/e","1163.14","1145.48"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|NO2","1228.09","n/e","1196.55","1071.31"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|NO2","1229.41","n/e","1188.96","1081.38"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|NO2","1225.58","n/e","1197.36","1087.49"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|NO2","1227.39","n/e","1201.57","1271.43"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|NO2","1225.60","n/e","1208.61","1298.95"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|NO2","1224.80","n/e","1214.89","1303.79"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|NO2","1223.62","n/e","1228.91","1305.74"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|NO2","1217.14","n/e","1232.85","1298.58"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|NO2","1213.28","n/e","1228.03","1305.40"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|NO2","1208.72","n/e","1205.86","1296.89"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|NO2","1202.37","n/e","1200.57","1294.22"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|NO2","1197.69","n/e","1188.74","1281.09"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|NO2","1179.09","n/e","1192.83","1286.75"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|NO2","1170.32","n/e","1175.09","1275.55"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|NO2","1172.61","n/e","1178.66","1268.95"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|NO2","1156.98","n/e","1168.19","1257.69"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|NO2","1151.52","n/e","1174.49","1257.26"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|NO2","1177.42","n/e","1160.87","1236.43"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|NO2","1163.90","n/e","1153.65","1215.27"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|NO2","1129.09","n/e","1126.41","1145.48"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|NO2","1112.64","n/e","1094.90","1023.76"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|NO2","1093.24","n/e","1059.05","994.86"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|NO2","1068.85","n/e","978.67","951.40"
