Delivery Start (CET);Delivery End (CET);NO2 Fossil Gas (MW);NO2 Hydro Pumped Storage (MW);NO2 Hydro Run Of River And Poundage (MW);NO2 Hydro Water Reservoir (MW);NO2 Waste (MW);NO2 Wind Offshore (MW);NO2 Wind Onshore (MW);NO2 Total (MW)
01.01.2025 00:00:00;01.01.2025 01:00:00;13;0;644;1393;4;;1008;3062
01.01.2025 01:00:00;01.01.2025 02:00:00;14;0;643;1299;4;;956;2916
01.01.2025 02:00:00;01.01.2025 03:00:00;14;0;628;1322;4;;1013;2981
01.01.2025 03:00:00;01.01.2025 04:00:00;14;0;631;1295;5;;944;2889
01.01.2025 04:00:00;01.01.2025 05:00:00;14;0;625;1329;5;;755;2728
01.01.2025 05:00:00;01.01.2025 06:00:00;14;0;630;1352;5;;460;2461
01.01.2025 06:00:00;01.01.2025 07:00:00;14;0;647;1410;5;;415;2491
01.01.2025 07:00:00;01.01.2025 08:00:00;14;0;651;1527;5;;423;2620
01.01.2025 08:00:00;01.01.2025 09:00:00;12;0;671;1541;5;;282;2511
01.01.2025 09:00:00;01.01.2025 10:00:00;14;0;673;1696;5;;216;2604
01.01.2025 10:00:00;01.01.2025 11:00:00;13;0;680;2386;4;;197;3280
01.01.2025 11:00:00;01.01.2025 12:00:00;14;0;696;3054;4;;205;3973
01.01.2025 12:00:00;01.01.2025 13:00:00;13;0;698;3261;4;;197;4173
01.01.2025 13:00:00;01.01.2025 14:00:00;14;0;697;3315;4;;188;4218
01.01.2025 14:00:00;01.01.2025 15:00:00;14;0;699;3303;4;;206;4226
01.01.2025 15:00:00;01.01.2025 16:00:00;14;0;699;3410;4;;242;4369
01.01.2025 16:00:00;01.01.2025 17:00:00;14;0;694;3709;4;;292;4713
01.01.2025 17:00:00;01.01.2025 18:00:00;14;0;697;3799;4;;286;4800
01.01.2025 18:00:00;01.01.2025 19:00:00;14;0;699;3731;4;;268;4716
01.01.2025 19:00:00;01.01.2025 20:00:00;14;0;688;3622;4;;290;4618
01.01.2025 20:00:00;01.01.2025 21:00:00;14;0;681;3609;4;;291;4599
01.01.2025 21:00:00;01.01.2025 22:00:00;14;0;694;3756;4;;233;4701
01.01.2025 22:00:00;01.01.2025 23:00:00;14;0;691;3691;4;;228;4628
01.01.2025 23:00:00;02.01.2025 00:00:00;14;0;690;3385;4;;282;4375
02.01.2025 00:00:00;02.01.2025 01:00:00;14;0;680;3425;4;;356;4479
02.01.2025 01:00:00;02.01.2025 02:00:00;14;0;680;3381;4;;301;4380
02.01.2025 02:00:00;02.01.2025 03:00:00;14;0;675;3319;4;;287;4299
02.01.2025 03:00:00;02.01.2025 04:00:00;14;0;688;3576;4;;346;4628
02.01.2025 04:00:00;02.01.2025 05:00:00;14;1;706;4068;4;;452;5245
02.01.2025 05:00:00;02.01.2025 06:00:00;14;248;725;5383;4;;495;6869
02.01.2025 06:00:00;02.01.2025 07:00:00;14;401;755;6683;4;;468;8325
02.01.2025 07:00:00;02.01.2025 08:00:00;14;377;788;7322;4;;435;8940
02.01.2025 08:00:00;02.01.2025 09:00:00;14;406;821;7540;5;;374;9160
02.01.2025 09:00:00;02.01.2025 10:00:00;14;482;848;8019;5;;448;9816
02.01.2025 10:00:00;02.01.2025 11:00:00;14;504;858;7786;5;;716;9883
02.01.2025 11:00:00;02.01.2025 12:00:00;14;504;875;8000;4;;717;10114
02.01.2025 12:00:00;02.01.2025 13:00:00;14;503;888;7963;4;;731;10103
02.01.2025 13:00:00;02.01.2025 14:00:00;14;462;895;7857;4;;845;10077
02.01.2025 14:00:00;02.01.2025 15:00:00;14;477;895;7909;4;;899;10198
02.01.2025 15:00:00;02.01.2025 16:00:00;14;498;893;7986;4;;942;10337
02.01.2025 16:00:00;02.01.2025 17:00:00;14;487;886;8071;4;;1023;10485
02.01.2025 17:00:00;02.01.2025 18:00:00;14;447;892;7722;4;;868;9947
02.01.2025 18:00:00;02.01.2025 19:00:00;14;446;896;7688;4;;714;9762
02.01.2025 19:00:00;02.01.2025 20:00:00;14;501;900;7895;4;;490;9804
02.01.2025 20:00:00;02.01.2025 21:00:00;14;491;895;7833;4;;234;9471
02.01.2025 21:00:00;02.01.2025 22:00:00;14;498;906;7806;4;;145;9373
02.01.2025 22:00:00;02.01.2025 23:00:00;14;504;906;7746;4;;319;9493
02.01.2025 23:00:00;03.01.2025 00:00:00;14;487;898;7569;4;;646;9618
03.01.2025 00:00:00;03.01.2025 01:00:00;14;395;875;7644;4;;1190;10122
03.01.2025 01:00:00;03.01.2025 02:00:00;14;379;872;7179;4;;1155;9603
03.01.2025 02:00:00;03.01.2025 03:00:00;14;371;871;6826;4;;1111;9197
03.01.2025 03:00:00;03.01.2025 04:00:00;14;347;859;6475;4;;1126;8825
03.01.2025 04:00:00;03.01.2025 05:00:00;14;322;849;6253;4;;1082;8524
03.01.2025 05:00:00;03.01.2025 06:00:00;14;333;843;6475;4;;1065;8734
03.01.2025 06:00:00;03.01.2025 07:00:00;14;302;845;6987;4;;1045;9197
03.01.2025 07:00:00;03.01.2025 08:00:00;14;372;874;7482;4;;1009;9755
03.01.2025 08:00:00;03.01.2025 09:00:00;13;444;878;7692;4;;961;9992
03.01.2025 09:00:00;03.01.2025 10:00:00;14;441;883;7824;4;;939;10105
03.01.2025 10:00:00;03.01.2025 11:00:00;14;442;888;7901;4;;925;10174
03.01.2025 11:00:00;03.01.2025 12:00:00;14;475;891;7931;4;;925;10240
03.01.2025 12:00:00;03.01.2025 13:00:00;14;481;889;8110;4;;820;10318
03.01.2025 13:00:00;03.01.2025 14:00:00;14;454;893;8014;4;;807;10186
03.01.2025 14:00:00;03.01.2025 15:00:00;14;421;893;7750;4;;833;9915
03.01.2025 15:00:00;03.01.2025 16:00:00;14;471;891;7836;4;;896;10112
03.01.2025 16:00:00;03.01.2025 17:00:00;14;416;886;7792;4;;855;9967
03.01.2025 17:00:00;03.01.2025 18:00:00;14;465;885;7811;4;;783;9962
03.01.2025 18:00:00;03.01.2025 19:00:00;14;407;883;7757;4;;765;9830
03.01.2025 19:00:00;03.01.2025 20:00:00;15;400;884;7728;4;;738;9769
03.01.2025 20:00:00;03.01.2025 21:00:00;14;401;883;7635;4;;556;9493
03.01.2025 21:00:00;03.01.2025 22:00:00;14;401;883;7803;4;;317;9422
03.01.2025 22:00:00;03.01.2025 23:00:00;14;485;875;8091;4;;180;9649
03.01.2025 23:00:00;04.01.2025 00:00:00;14;503;874;8058;4;;116;9569
04.01.2025 00:00:00;04.01.2025 01:00:00;14;505;849;8315;4;;160;9847
04.01.2025 01:00:00;04.01.2025 02:00:00;14;495;860;8014;4;;196;9583
04.01.2025 02:00:00;04.01.2025 03:00:00;14;488;863;7539;4;;162;9070
04.01.2025 03:00:00;04.01.2025 04:00:00;14;489;855;7517;4;;89;8968
04.01.2025 04:00:00;04.01.2025 05:00:00;14;495;849;7591;4;;66;9019
04.01.2025 05:00:00;04.01.2025 06:00:00;14;506;841;7639;4;;73;9077
04.01.2025 06:00:00;04.01.2025 07:00:00;14;471;852;7978;4;;70;9389
04.01.2025 07:00:00;04.01.2025 08:00:00;13;459;873;8014;4;;55;9418
04.01.2025 08:00:00;04.01.2025 09:00:00;13;439;868;8145;4;;46;9515
04.01.2025 09:00:00;04.01.2025 10:00:00;13;441;872;8189;4;;45;9564
04.01.2025 10:00:00;04.01.2025 11:00:00;14;440;876;8225;4;;20;9579
04.01.2025 11:00:00;04.01.2025 12:00:00;14;438;873;8127;4;;36;9492
04.01.2025 12:00:00;04.01.2025 13:00:00;14;439;875;8260;4;;26;9618
04.01.2025 13:00:00;04.01.2025 14:00:00;14;454;873;8373;4;;44;9762
04.01.2025 14:00:00;04.01.2025 15:00:00;15;466;873;8400;4;;46;9804
04.01.2025 15:00:00;04.01.2025 16:00:00;14;439;862;8331;4;;65;9715
04.01.2025 16:00:00;04.01.2025 17:00:00;15;452;858;8400;4;;53;9782
04.01.2025 17:00:00;04.01.2025 18:00:00;14;443;863;8455;4;;44;9823
04.01.2025 18:00:00;04.01.2025 19:00:00;14;506;862;8608;4;;23;10017
04.01.2025 19:00:00;04.01.2025 20:00:00;14;505;873;8607;4;;13;10016
04.01.2025 20:00:00;04.01.2025 21:00:00;14;504;870;8555;4;;15;9962
04.01.2025 21:00:00;04.01.2025 22:00:00;14;506;869;8607;4;;56;10056
04.01.2025 22:00:00;04.01.2025 23:00:00;15;504;866;8523;4;;136;10048
04.01.2025 23:00:00;05.01.2025 00:00:00;14;471;860;8452;4;;207;10008
05.01.2025 00:00:00;05.01.2025 01:00:00;15;502;834;8168;4;;218;9741
05.01.2025 01:00:00;05.01.2025 02:00:00;14;458;840;8010;4;;184;9510
05.01.2025 02:00:00;05.01.2025 03:00:00;14;466;841;8031;4;;139;9495
05.01.2025 03:00:00;05.01.2025 04:00:00;14;503;841;8182;4;;125;9669
05.01.2025 04:00:00;05.01.2025 05:00:00;14;497;836;8299;4;;156;9806
05.01.2025 05:00:00;05.01.2025 06:00:00;14;500;840;8333;4;;190;9881
05.01.2025 06:00:00;05.01.2025 07:00:00;14;506;862;8411;4;;257;10054
05.01.2025 07:00:00;05.01.2025 08:00:00;14;504;864;8365;4;;329;10080
05.01.2025 08:00:00;05.01.2025 09:00:00;14;478;867;8328;5;;363;10055
05.01.2025 09:00:00;05.01.2025 10:00:00;14;506;869;8321;4;;446;10160
05.01.2025 10:00:00;05.01.2025 11:00:00;14;507;871;8343;4;;457;10196
05.01.2025 11:00:00;05.01.2025 12:00:00;14;507;871;8385;4;;422;10203
05.01.2025 12:00:00;05.01.2025 13:00:00;14;506;874;8344;4;;437;10179
05.01.2025 13:00:00;05.01.2025 14:00:00;14;506;871;8273;4;;510;10178
05.01.2025 14:00:00;05.01.2025 15:00:00;14;506;865;8166;4;;564;10119
05.01.2025 15:00:00;05.01.2025 16:00:00;14;494;849;8134;4;;663;10158
05.01.2025 16:00:00;05.01.2025 17:00:00;14;502;847;8202;4;;710;10279
05.01.2025 17:00:00;05.01.2025 18:00:00;15;503;856;8141;4;;783;10302
05.01.2025 18:00:00;05.01.2025 19:00:00;14;505;855;8217;4;;821;10416
05.01.2025 19:00:00;05.01.2025 20:00:00;14;469;848;7824;4;;843;10002
05.01.2025 20:00:00;05.01.2025 21:00:00;14;450;821;7421;4;;950;9660
05.01.2025 21:00:00;05.01.2025 22:00:00;14;396;800;7266;4;;1027;9507
05.01.2025 22:00:00;05.01.2025 23:00:00;14;220;795;6698;4;;1080;8811
05.01.2025 23:00:00;06.01.2025 00:00:00;14;2;765;4327;4;;1129;6241
06.01.2025 00:00:00;06.01.2025 01:00:00;14;0;722;4106;0;;1163;6005
06.01.2025 01:00:00;06.01.2025 02:00:00;14;0;708;3367;0;;1191;5280
06.01.2025 02:00:00;06.01.2025 03:00:00;14;0;701;2936;0;;1208;4859
06.01.2025 03:00:00;06.01.2025 04:00:00;14;0;691;2616;0;;1245;4566
06.01.2025 04:00:00;06.01.2025 05:00:00;14;0;686;2416;0;;1246;4362
06.01.2025 05:00:00;06.01.2025 06:00:00;14;0;685;2788;0;;1208;4695
06.01.2025 06:00:00;06.01.2025 07:00:00;14;0;685;3249;0;;1200;5148
06.01.2025 07:00:00;06.01.2025 08:00:00;14;215;721;5756;0;;1177;7883
06.01.2025 08:00:00;06.01.2025 09:00:00;14;253;717;7273;0;;1117;9374
06.01.2025 09:00:00;06.01.2025 10:00:00;14;280;730;7208;0;;1008;9240
06.01.2025 10:00:00;06.01.2025 11:00:00;14;317;726;6548;0;;897;8502
06.01.2025 11:00:00;06.01.2025 12:00:00;14;317;727;6334;0;;750;8142
06.01.2025 12:00:00;06.01.2025 13:00:00;14;316;720;5936;0;;630;7616
06.01.2025 13:00:00;06.01.2025 14:00:00;14;317;714;5494;0;;586;7125
06.01.2025 14:00:00;06.01.2025 15:00:00;14;259;710;5290;0;;591;6864
06.01.2025 15:00:00;06.01.2025 16:00:00;14;317;706;5274;0;;583;6894
06.01.2025 16:00:00;06.01.2025 17:00:00;14;293;701;5624;0;;619;7251
06.01.2025 17:00:00;06.01.2025 18:00:00;15;317;694;5976;0;;715;7717
06.01.2025 18:00:00;06.01.2025 19:00:00;15;316;691;6030;0;;848;7900
06.01.2025 19:00:00;06.01.2025 20:00:00;14;162;685;5669;0;;929;7459
06.01.2025 20:00:00;06.01.2025 21:00:00;15;0;668;5077;0;;1023;6783
06.01.2025 21:00:00;06.01.2025 22:00:00;14;0;661;4114;0;;1095;5884
06.01.2025 22:00:00;06.01.2025 23:00:00;14;0;645;3967;0;;1187;5813
06.01.2025 23:00:00;07.01.2025 00:00:00;14;0;641;3735;0;;1224;5614
07.01.2025 00:00:00;07.01.2025 01:00:00;14;0;617;2928;0;;1230;4789
07.01.2025 01:00:00;07.01.2025 02:00:00;14;0;620;2381;0;;1211;4226
07.01.2025 02:00:00;07.01.2025 03:00:00;14;0;618;2298;0;;1192;4122
07.01.2025 03:00:00;07.01.2025 04:00:00;14;0;610;2165;0;;1236;4025
07.01.2025 04:00:00;07.01.2025 05:00:00;14;0;606;2760;0;;1158;4538
07.01.2025 05:00:00;07.01.2025 06:00:00;14;0;606;3126;0;;995;4741
07.01.2025 06:00:00;07.01.2025 07:00:00;15;80;614;4400;0;;878;5987
07.01.2025 07:00:00;07.01.2025 08:00:00;15;318;645;6094;0;;699;7771
07.01.2025 08:00:00;07.01.2025 09:00:00;14;318;650;6286;0;;611;7879
07.01.2025 09:00:00;07.01.2025 10:00:00;15;317;658;6225;0;;593;7808
07.01.2025 10:00:00;07.01.2025 11:00:00;15;318;635;6303;0;;467;7738
07.01.2025 11:00:00;07.01.2025 12:00:00;14;319;663;5714;0;;349;7059
07.01.2025 12:00:00;07.01.2025 13:00:00;14;319;675;5585;0;;247;6840
07.01.2025 13:00:00;07.01.2025 14:00:00;14;320;674;5594;0;;166;6768
07.01.2025 14:00:00;07.01.2025 15:00:00;14;320;669;5581;0;;160;6744
07.01.2025 15:00:00;07.01.2025 16:00:00;14;319;673;5546;0;;107;6659
07.01.2025 16:00:00;07.01.2025 17:00:00;14;319;676;5838;0;;46;6893
07.01.2025 17:00:00;07.01.2025 18:00:00;14;317;678;5964;0;;43;7016
07.01.2025 18:00:00;07.01.2025 19:00:00;14;316;673;5731;0;;45;6779
07.01.2025 19:00:00;07.01.2025 20:00:00;14;317;672;5605;0;;43;6651
07.01.2025 20:00:00;07.01.2025 21:00:00;14;316;666;5262;0;;45;6303
07.01.2025 21:00:00;07.01.2025 22:00:00;14;317;664;4932;0;;43;5970
07.01.2025 22:00:00;07.01.2025 23:00:00;14;260;648;4893;0;;58;5873
07.01.2025 23:00:00;08.01.2025 00:00:00;14;279;645;4930;0;;69;5937
08.01.2025 00:00:00;08.01.2025 01:00:00;14;288;664;5619;4;;70;6659
08.01.2025 01:00:00;08.01.2025 02:00:00;14;282;663;5550;4;;87;6600
08.01.2025 02:00:00;08.01.2025 03:00:00;14;281;666;5459;4;;80;6504
08.01.2025 03:00:00;08.01.2025 04:00:00;14;255;662;5337;4;;110;6382
08.01.2025 04:00:00;08.01.2025 05:00:00;14;255;674;5343;4;;204;6494
08.01.2025 05:00:00;08.01.2025 06:00:00;14;295;697;5633;4;;282;6925
08.01.2025 06:00:00;08.01.2025 07:00:00;14;354;719;6125;4;;356;7572
08.01.2025 07:00:00;08.01.2025 08:00:00;14;443;734;6888;4;;398;8481
08.01.2025 08:00:00;08.01.2025 09:00:00;14;465;763;7316;4;;402;8964
08.01.2025 09:00:00;08.01.2025 10:00:00;14;456;776;7570;4;;275;9095
08.01.2025 10:00:00;08.01.2025 11:00:00;14;497;784;7631;4;;316;9246
08.01.2025 11:00:00;08.01.2025 12:00:00;14;503;808;7708;4;;484;9521
08.01.2025 12:00:00;08.01.2025 13:00:00;14;503;818;7675;4;;505;9519
08.01.2025 13:00:00;08.01.2025 14:00:00;14;503;817;7563;4;;534;9435
08.01.2025 14:00:00;08.01.2025 15:00:00;14;502;820;7484;4;;516;9340
08.01.2025 15:00:00;08.01.2025 16:00:00;14;502;824;7561;4;;476;9381
08.01.2025 16:00:00;08.01.2025 17:00:00;14;449;830;7580;4;;558;9435
08.01.2025 17:00:00;08.01.2025 18:00:00;14;445;831;7670;4;;461;9425
08.01.2025 18:00:00;08.01.2025 19:00:00;14;485;830;7702;4;;484;9519
08.01.2025 19:00:00;08.01.2025 20:00:00;14;493;834;7654;4;;402;9401
08.01.2025 20:00:00;08.01.2025 21:00:00;14;457;823;7719;4;;423;9440
08.01.2025 21:00:00;08.01.2025 22:00:00;14;492;822;7721;4;;356;9409
08.01.2025 22:00:00;08.01.2025 23:00:00;14;502;818;7762;4;;322;9422
08.01.2025 23:00:00;09.01.2025 00:00:00;14;499;820;7710;4;;286;9333
09.01.2025 00:00:00;09.01.2025 01:00:00;14;482;805;7729;4;;128;9162
09.01.2025 01:00:00;09.01.2025 02:00:00;14;475;807;7562;4;;63;8925
09.01.2025 02:00:00;09.01.2025 03:00:00;14;469;807;7592;4;;46;8932
09.01.2025 03:00:00;09.01.2025 04:00:00;14;475;812;7655;4;;72;9032
09.01.2025 04:00:00;09.01.2025 05:00:00;14;481;810;7840;4;;40;9189
09.01.2025 05:00:00;09.01.2025 06:00:00;14;494;811;7938;4;;11;9272
09.01.2025 06:00:00;09.01.2025 07:00:00;14;486;803;7850;4;;4;9161
09.01.2025 07:00:00;09.01.2025 08:00:00;14;447;832;8264;4;;5;9566
09.01.2025 08:00:00;09.01.2025 09:00:00;14;437;846;7658;4;;7;8966
09.01.2025 09:00:00;09.01.2025 10:00:00;14;447;850;7552;4;;10;8877
09.01.2025 10:00:00;09.01.2025 11:00:00;14;452;850;8120;4;;31;9471
09.01.2025 11:00:00;09.01.2025 12:00:00;14;452;844;7996;4;;52;9362
09.01.2025 12:00:00;09.01.2025 13:00:00;14;455;846;8040;4;;65;9424
09.01.2025 13:00:00;09.01.2025 14:00:00;14;456;847;7882;4;;89;9292
09.01.2025 14:00:00;09.01.2025 15:00:00;14;458;846;7844;4;;89;9255
09.01.2025 15:00:00;09.01.2025 16:00:00;14;458;843;7849;4;;96;9264
09.01.2025 16:00:00;09.01.2025 17:00:00;14;433;843;7563;4;;108;8965
09.01.2025 17:00:00;09.01.2025 18:00:00;14;446;844;8030;4;;113;9451
09.01.2025 18:00:00;09.01.2025 19:00:00;14;445;844;7866;4;;95;9268
09.01.2025 19:00:00;09.01.2025 20:00:00;14;453;841;8194;4;;79;9585
09.01.2025 20:00:00;09.01.2025 21:00:00;14;447;834;7976;4;;94;9369
09.01.2025 21:00:00;09.01.2025 22:00:00;14;453;817;7911;4;;108;9307
09.01.2025 22:00:00;09.01.2025 23:00:00;14;436;815;8194;4;;94;9557
09.01.2025 23:00:00;10.01.2025 00:00:00;14;498;815;8188;4;;75;9594
10.01.2025 00:00:00;10.01.2025 01:00:00;14;502;814;8351;4;;87;9772
10.01.2025 01:00:00;10.01.2025 02:00:00;14;490;821;8256;4;;116;9701
10.01.2025 02:00:00;10.01.2025 03:00:00;14;483;820;8246;4;;115;9682
10.01.2025 03:00:00;10.01.2025 04:00:00;14;473;817;8205;4;;95;9608
10.01.2025 04:00:00;10.01.2025 05:00:00;14;476;823;8278;4;;78;9673
10.01.2025 05:00:00;10.01.2025 06:00:00;14;491;824;8271;4;;86;9690
10.01.2025 06:00:00;10.01.2025 07:00:00;14;504;839;7960;4;;60;9381
10.01.2025 07:00:00;10.01.2025 08:00:00;14;498;842;8055;4;;36;9449
10.01.2025 08:00:00;10.01.2025 09:00:00;14;482;845;8126;4;;21;9492
10.01.2025 09:00:00;10.01.2025 10:00:00;14;501;848;8529;4;;28;9924
10.01.2025 10:00:00;10.01.2025 11:00:00;14;503;850;8527;4;;13;9911
10.01.2025 11:00:00;10.01.2025 12:00:00;14;503;844;8103;4;;2;9470
10.01.2025 12:00:00;10.01.2025 13:00:00;14;503;844;8015;4;;5;9385
10.01.2025 13:00:00;10.01.2025 14:00:00;14;504;845;8039;4;;21;9427
10.01.2025 14:00:00;10.01.2025 15:00:00;14;504;844;7834;4;;27;9227
10.01.2025 15:00:00;10.01.2025 16:00:00;14;504;846;7860;4;;31;9259
10.01.2025 16:00:00;10.01.2025 17:00:00;14;505;844;7794;4;;45;9206
10.01.2025 17:00:00;10.01.2025 18:00:00;14;490;846;7894;4;;29;9277
10.01.2025 18:00:00;10.01.2025 19:00:00;14;488;841;7797;4;;50;9194
10.01.2025 19:00:00;10.01.2025 20:00:00;14;486;838;7872;4;;58;9272
10.01.2025 20:00:00;10.01.2025 21:00:00;14;483;830;7712;4;;125;9168
10.01.2025 21:00:00;10.01.2025 22:00:00;14;467;828;7434;4;;152;8899
10.01.2025 22:00:00;10.01.2025 23:00:00;14;430;805;7196;4;;105;8554
10.01.2025 23:00:00;11.01.2025 00:00:00;14;393;802;6694;4;;84;7991
11.01.2025 00:00:00;11.01.2025 01:00:00;14;332;804;6105;4;;90;7349
11.01.2025 01:00:00;11.01.2025 02:00:00;14;325;802;5868;4;;76;7089
11.01.2025 02:00:00;11.01.2025 03:00:00;14;329;809;5888;4;;87;7131
11.01.2025 03:00:00;11.01.2025 04:00:00;14;331;806;5837;4;;101;7093
11.01.2025 04:00:00;11.01.2025 05:00:00;14;340;805;6148;4;;113;7424
11.01.2025 05:00:00;11.01.2025 06:00:00;14;341;803;6192;4;;78;7432
11.01.2025 06:00:00;11.01.2025 07:00:00;14;377;806;6242;4;;75;7518
11.01.2025 07:00:00;11.01.2025 08:00:00;13;340;806;6297;4;;81;7541
11.01.2025 08:00:00;11.01.2025 09:00:00;13;373;808;6363;4;;121;7682
11.01.2025 09:00:00;11.01.2025 10:00:00;14;339;810;6678;4;;75;7920
11.01.2025 10:00:00;11.01.2025 11:00:00;14;367;809;6712;4;;65;7971
11.01.2025 11:00:00;11.01.2025 12:00:00;14;361;807;6929;4;;37;8152
11.01.2025 12:00:00;11.01.2025 13:00:00;14;339;825;6632;4;;34;7848
11.01.2025 13:00:00;11.01.2025 14:00:00;14;332;822;6250;4;;62;7484
11.01.2025 14:00:00;11.01.2025 15:00:00;14;314;827;6169;4;;80;7408
11.01.2025 15:00:00;11.01.2025 16:00:00;14;336;828;6124;4;;100;7406
11.01.2025 16:00:00;11.01.2025 17:00:00;14;385;821;6918;4;;136;8278
11.01.2025 17:00:00;11.01.2025 18:00:00;14;476;827;7428;4;;160;8909
11.01.2025 18:00:00;11.01.2025 19:00:00;14;495;829;7481;4;;149;8972
11.01.2025 19:00:00;11.01.2025 20:00:00;14;450;830;7387;4;;111;8796
11.01.2025 20:00:00;11.01.2025 21:00:00;14;395;821;7039;4;;89;8362
11.01.2025 21:00:00;11.01.2025 22:00:00;14;430;829;6921;4;;108;8306
11.01.2025 22:00:00;11.01.2025 23:00:00;14;392;827;6672;4;;100;8009
11.01.2025 23:00:00;12.01.2025 00:00:00;14;314;822;6444;4;;88;7686
12.01.2025 00:00:00;12.01.2025 01:00:00;14;268;817;6186;4;;32;7321
12.01.2025 01:00:00;12.01.2025 02:00:00;14;337;818;6308;4;;16;7497
12.01.2025 02:00:00;12.01.2025 03:00:00;14;312;803;6258;4;;10;7401
12.01.2025 03:00:00;12.01.2025 04:00:00;14;269;796;6301;4;;3;7387
12.01.2025 04:00:00;12.01.2025 05:00:00;14;273;796;6345;4;;3;7435
12.01.2025 05:00:00;12.01.2025 06:00:00;14;267;796;6534;4;;14;7629
12.01.2025 06:00:00;12.01.2025 07:00:00;14;325;792;6720;4;;37;7892
12.01.2025 07:00:00;12.01.2025 08:00:00;13;399;813;7174;4;;39;8442
12.01.2025 08:00:00;12.01.2025 09:00:00;13;454;815;7645;4;;64;8995
12.01.2025 09:00:00;12.01.2025 10:00:00;14;496;827;8031;4;;52;9424
12.01.2025 10:00:00;12.01.2025 11:00:00;14;502;830;8068;4;;155;9573
12.01.2025 11:00:00;12.01.2025 12:00:00;14;457;823;8071;4;;91;9460
12.01.2025 12:00:00;12.01.2025 13:00:00;14;446;828;8241;4;;34;9567
12.01.2025 13:00:00;12.01.2025 14:00:00;14;455;827;8296;4;;25;9621
12.01.2025 14:00:00;12.01.2025 15:00:00;14;470;822;8098;4;;48;9456
12.01.2025 15:00:00;12.01.2025 16:00:00;14;472;825;8114;4;;96;9525
12.01.2025 16:00:00;12.01.2025 17:00:00;14;483;821;8506;4;;89;9917
12.01.2025 17:00:00;12.01.2025 18:00:00;14;502;823;8578;4;;89;10010
12.01.2025 18:00:00;12.01.2025 19:00:00;14;503;829;8446;4;;111;9907
12.01.2025 19:00:00;12.01.2025 20:00:00;14;504;830;8515;4;;117;9984
12.01.2025 20:00:00;12.01.2025 21:00:00;14;502;827;8461;4;;188;9996
12.01.2025 21:00:00;12.01.2025 22:00:00;14;478;831;8156;4;;301;9784
12.01.2025 22:00:00;12.01.2025 23:00:00;14;503;830;8236;4;;451;10038
12.01.2025 23:00:00;13.01.2025 00:00:00;14;471;823;8390;4;;596;10298
13.01.2025 00:00:00;13.01.2025 01:00:00;14;461;814;8302;4;;665;10260
13.01.2025 01:00:00;13.01.2025 02:00:00;14;457;790;8052;4;;736;10053
13.01.2025 02:00:00;13.01.2025 03:00:00;14;443;785;7955;4;;852;10053
13.01.2025 03:00:00;13.01.2025 04:00:00;14;426;789;7838;4;;862;9933
13.01.2025 04:00:00;13.01.2025 05:00:00;14;411;786;7574;4;;884;9673
13.01.2025 05:00:00;13.01.2025 06:00:00;14;266;789;7083;4;;962;9118
13.01.2025 06:00:00;13.01.2025 07:00:00;14;393;789;7970;4;;1034;10204
13.01.2025 07:00:00;13.01.2025 08:00:00;14;508;820;8441;4;;1034;10821
13.01.2025 08:00:00;13.01.2025 09:00:00;14;508;810;8272;4;;1048;10656
13.01.2025 09:00:00;13.01.2025 10:00:00;14;503;820;8164;4;;1067;10572
13.01.2025 10:00:00;13.01.2025 11:00:00;14;443;821;7889;4;;1063;10234
13.01.2025 11:00:00;13.01.2025 12:00:00;14;318;825;7866;4;;1024;10051
13.01.2025 12:00:00;13.01.2025 13:00:00;14;330;824;7756;4;;1026;9954
13.01.2025 13:00:00;13.01.2025 14:00:00;14;156;827;7719;4;;943;9663
13.01.2025 14:00:00;13.01.2025 15:00:00;14;1;825;6825;3;;858;8526
13.01.2025 15:00:00;13.01.2025 16:00:00;14;0;833;6595;3;;796;8241
13.01.2025 16:00:00;13.01.2025 17:00:00;14;0;834;6812;3;;805;8468
13.01.2025 17:00:00;13.01.2025 18:00:00;14;0;842;6118;4;;855;7833
13.01.2025 18:00:00;13.01.2025 19:00:00;14;0;852;5926;4;;904;7700
13.01.2025 19:00:00;13.01.2025 20:00:00;14;0;870;5312;4;;924;7124
13.01.2025 20:00:00;13.01.2025 21:00:00;14;0;877;4979;4;;975;6849
13.01.2025 21:00:00;13.01.2025 22:00:00;13;0;869;4775;4;;904;6565
13.01.2025 22:00:00;13.01.2025 23:00:00;14;0;863;4497;4;;844;6222
13.01.2025 23:00:00;14.01.2025 00:00:00;14;0;865;4424;4;;856;6163
14.01.2025 00:00:00;14.01.2025 01:00:00;13;0;866;4139;4;;874;5896
14.01.2025 01:00:00;14.01.2025 02:00:00;13;0;859;3944;4;;909;5729
14.01.2025 02:00:00;14.01.2025 03:00:00;12;0;851;3929;4;;891;5687
14.01.2025 03:00:00;14.01.2025 04:00:00;14;0;850;3851;4;;840;5559
14.01.2025 04:00:00;14.01.2025 05:00:00;14;0;855;3968;4;;671;5512
14.01.2025 05:00:00;14.01.2025 06:00:00;14;0;856;4269;4;;577;5720
14.01.2025 06:00:00;14.01.2025 07:00:00;13;0;863;4899;4;;692;6471
14.01.2025 07:00:00;14.01.2025 08:00:00;13;0;885;5206;4;;827;6935
14.01.2025 08:00:00;14.01.2025 09:00:00;12;0;902;5437;4;;914;7269
