y_true,y_hat,spread
up,up,-12.930000000000009
up,up,67.07
up,up,67.07
up,up,67.07
up,up,49.02
up,up,49.02
up,up,49.02
up,up,49.02
up,up,56.3
up,up,10.718999999999994
up,up,10.718999999999994
up,up,10.718999999999994
up,up,21.419
up,up,11.0
up,up,11.0
up,up,11.0
up,up,10.200000000000005
up,up,10.200000000000005
up,up,21.709999999999997
up,up,21.709999999999997
up,up,23.25
up,up,100.25
up,up,100.25
up,up,100.25
up,up,100.62
up,up,100.62
up,up,100.62
up,up,100.62
up,up,99.48
up,up,12.980000000000004
up,up,12.980000000000004
up,up,12.980000000000004
up,up,-16.019999999999996
up,up,14.980000000000004
up,up,14.980000000000004
up,up,14.980000000000004
up,up,21.680000000000007
up,up,113.68
up,up,113.68
up,up,113.68
up,up,123.47
up,up,123.47
up,up,123.47
up,up,123.47
down,down,2.1000000000000014
down,down,6.100000000000001
down,down,6.100000000000001
down,down,6.100000000000001
down,down,3.960000000000001
down,down,3.960000000000001
down,down,3.960000000000001
down,down,3.960000000000001
down,down,3.82
down,down,4.82
down,down,4.82
down,down,4.82
down,down,6.880000000000003
down,down,7.880000000000003
down,down,7.880000000000003
down,down,7.880000000000003
up,up,11.130000000000004
up,up,11.130000000000004
up,up,14.47
up,up,12.47
up,up,2.3700000000000045
down,down,-3.0
down,down,5.629999999999996
up,up,7.140000000000001
up,up,7.710000000000001
up,up,15.949999999999996
up,up,15.949999999999996
up,up,15.949999999999996
up,up,16.609999999999992
up,up,17.869999999999997
down,down,11.459999999999994
down,down,10.07
down,down,10.07
down,down,10.07
up,up,5.700000000000003
up,up,5.700000000000003
down,down,11.259999999999998
down,down,11.259999999999998
down,down,11.259999999999998
down,down,12.950000000000005
down,down,12.950000000000005
down,down,12.950000000000005
down,down,12.950000000000005
down,down,15.57
down,down,17.75
down,down,17.75
down,down,17.75
down,down,18.46
down,down,19.28
down,down,19.28
down,down,23.19
down,down,21.69
down,down,21.69
down,down,60.3
down,down,57.3
down,down,57.3
down,down,41.650000000000006
down,down,39.650000000000006
down,down,39.650000000000006
down,down,39.650000000000006
down,down,30.590000000000003
down,down,32.59
down,down,32.59
down,down,32.59
up,up,8.14
up,up,7.770000000000003
up,up,7.770000000000003
up,up,7.770000000000003
up,up,7.770000000000003
up,up,6.780000000000001
up,up,7.780000000000001
up,up,7.780000000000001
up,up,7.780000000000001
up,up,5.509999999999998
up,up,7.509999999999998
up,up,7.509999999999998
up,up,7.509999999999998
up,up,11.85
up,up,11.85
up,up,14.53
up,up,10.53
up,up,10.53
up,up,10.53
up,up,11.299999999999995
up,up,11.299999999999995
up,up,11.299999999999995
down,down,0.5300000000000011
down,down,4.350000000000001
down,down,4.350000000000001
down,down,4.350000000000001
