y_true,y_hat,spread
up,up,8.220000000000006
up,up,9.440000000000005
up,up,18.689999999999998
up,up,26.72
up,up,38.22
up,up,47.28
up,up,43.190000000000005
up,up,40.019999999999996
up,up,39.54
up,up,49.519999999999996
up,up,48.09
up,up,44.510000000000005
up,up,40.93
up,up,41.04
up,up,40.76
up,up,35.9
up,up,39.38
up,up,39.38
up,up,34.510000000000005
up,up,34.46
up,up,23.02
up,up,18.69
up,up,12.310000000000002
up,up,-2.5600000000000023
up,up,-7.199999999999996
up,up,-9.519999999999996
up,up,-6.530000000000001
up,up,-0.9099999999999966
up,up,29.590000000000003
up,up,23.669999999999998
up,up,23.91
up,up,24.450000000000003
up,up,35.11
up,up,36.76
up,up,36.72
up,up,33.35
up,up,30.44
up,up,82.19
up,up,33.44
up,up,33.4
up,up,33.18
up,up,33.18
up,up,28.27
up,up,33.41
up,up,35.78
up,up,35.65
up,up,35.57
up,up,30.5
up,up,25.6
up,up,24.86
up,up,24.75
up,up,24.55
up,up,20.25
up,up,23.71
up,up,22.04
up,up,20.67
up,up,20.09
up,up,14.49
up,up,4.43
up,up,-3.6400000000000006
up,up,-10.310000000000002
up,up,-8.969999999999999
up,up,-5.409999999999997
up,up,-6.210000000000001
up,up,-0.9699999999999989
down,down,4.900000000000006
down,down,5.740000000000002
down,down,5.689999999999998
down,down,4.100000000000001
down,down,3.270000000000003
down,down,1.9200000000000017
down,down,-2.0600000000000023
down,down,-6.060000000000002
down,down,-3.5900000000000034
down,down,-3.4099999999999966
down,down,-3.9100000000000037
up,up,21.33
up,up,22.969999999999995
up,up,23.459999999999997
up,up,5.93
up,up,5.740000000000002
up,up,36.08
up,up,5.289999999999999
up,up,3.0600000000000023
up,up,13.149999999999999
up,up,6.630000000000003
up,up,8.560000000000002
up,up,5.479999999999997
up,up,13.170000000000002
up,up,14.829999999999998
up,up,18.14
up,up,14.490000000000002
up,up,13.810000000000002
up,up,13.82
up,up,13.490000000000002
up,up,13.420000000000002
up,up,12.39
up,up,12.909999999999997
down,down,0.6300000000000026
down,down,7.009999999999998
down,down,6.950000000000003
down,down,13.040000000000006
down,down,12.14
down,down,11.799999999999997
down,down,17.25
down,down,21.480000000000004
down,down,22.17
down,down,24.510000000000005
down,down,19.300000000000004
down,down,12.400000000000006
down,down,6.200000000000003
down,down,9.729999999999997
down,down,10.400000000000006
down,down,15.459999999999994
down,down,13.859999999999992
