class,count,mean,median,p10,p90
down,6458.0,16.353005574481262,10.154999999999998,3.228000000000004,33.63
up,3280.0,19.982706097560975,10.47,2.878999999999999,34.172
overall,9738.0,17.57557876360649,10.25,3.1100000000000003,33.72
