Day,Hour,MBA|NO1
Day,Hour,UP
Day,Hour,Price  [EUR/MW]
22.11.2025,00:00,9.87
,01:00,7.7
,02:00,6.5
,03:00,6.0
,04:00,5.7
,05:00,4.5
,06:00,5.8
,07:00,6.3
,08:00,7.2
,09:00,10.6
,10:00,10.1
,11:00,6.6
,12:00,5.9
,13:00,6.1
,14:00,9.2
,15:00,10.5
,16:00,12.3
,17:00,14.72
,18:00,13.0
,19:00,12.0
,20:00,10.0
,21:00,7.1
,22:00,6.6
,23:00,5.3
