"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|NO1","123.41","n/e","97.91","109.08"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|NO1","123.41","n/e","94.04","105.10"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|NO1","121.10","n/e","92.75","120.59"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|NO1","121.56","n/e","92.19","121.54"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|NO1","119.62","n/e","96.33","115.97"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|NO1","118.07","n/e","77.93","116.41"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|NO1","116.01","n/e","72.68","119.97"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|NO1","117.71","n/e","72.83","108.47"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|NO1","119.39","n/e","74.48","110.36"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|NO1","124.91","n/e","73.79","114.64"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|NO1","126.63","n/e","73.28","117.84"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|NO1","129.11","n/e","73.82","124.08"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|NO1","131.62","n/e","75.69","125.46"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|NO1","133.92","n/e","78.14","123.69"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|NO1","135.80","n/e","80.59","129.57"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|NO1","137.60","n/e","80.37","133.75"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|NO1","138.74","n/e","81.08","138.86"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|NO1","139.56","n/e","81.53","140.62"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|NO1","117.87","n/e","104.18","129.05"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|NO1","118.34","n/e","107.21","128.45"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|NO1","119.61","n/e","92.66","134.09"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|NO1","122.04","n/e","83.13","141.22"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|NO1","125.31","n/e","85.31","144.69"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|NO1","127.46","n/e","89.15","138.64"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|NO1","127.89","n/e","91.73","138.83"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|NO1","126.97","n/e","90.56","144.36"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|NO1","119.51","n/e","86.53","142.89"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|NO1","134.54","n/e","95.58","140.89"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|NO1","132.47","n/e","102.08","134.25"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|NO1","132.06","n/e","94.67","134.06"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|NO1","132.90","n/e","88.63","140.72"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|NO1","135.18","n/e","86.82","139.92"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|NO1","136.94","n/e","89.42","136.16"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|NO1","144.68","n/e","92.11","143.00"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|NO1","143.02","n/e","138.10","151.47"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|NO1","139.27","n/e","134.02","148.63"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|NO1","153.14","n/e","137.53","139.10"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|NO1","148.57","n/e","141.71","137.22"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|NO1","144.11","n/e","130.35","133.16"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|NO1","138.73","n/e","126.23","132.60"
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|NO1","133.80","n/e","125.85","125.79"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|NO1","128.29","n/e","126.71","112.00"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|NO1","107.52","n/e","111.44","112.99"
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|NO1","104.10","n/e","102.02","110.52"
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|NO1","97.74","n/e","99.78","102.48"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|NO1","94.91","n/e","98.38","96.56"
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|NO1","91.86","n/e","85.93","86.19"
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|NO1","90.64","n/e","83.18","86.04"
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|NO1","88.23","n/e","74.27","84.64"
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|NO1","86.36","n/e","69.69","86.57"
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|NO1","81.65","n/e","66.37","99.24"
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|NO1","83.38","n/e","60.84","109.64"
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|NO1","79.78","n/e","66.68","96.09"
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|NO1","76.54","n/e","70.14","73.88"
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|NO1","71.50","n/e","78.59","70.40"
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|NO1","67.13","n/e","70.27","76.90"
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|NO1","63.40","n/e","64.45","88.89"
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|NO1","62.66","n/e","62.15","87.42"
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|NO1","59.10","n/e","63.19","85.04"
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|NO1","54.48","n/e","56.36","82.51"
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|NO1","49.96","n/e","50.40","72.69"
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|NO1","46.77","n/e","46.89","57.00"
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|NO1","44.80","n/e","46.01","67.91"
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|NO1","42.37","n/e","41.10","62.09"
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|NO1","39.88","n/e","38.57","63.27"
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|NO1","38.13","n/e","38.75","64.08"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|NO1","36.65","n/e","37.60","64.60"
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|NO1","36.47","n/e","38.93","68.86"
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|NO1","35.96","n/e","40.72","72.32"
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|NO1","35.21","n/e","39.26","72.71"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|NO1","33.65","n/e","38.91","72.52"
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|NO1","32.34","n/e","36.38","72.25"
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|NO1","30.76","n/e","34.67","68.92"
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|NO1","29.22","n/e","35.54","55.72"
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|NO1","27.77","n/e","35.69","42.86"
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|NO1","25.96","n/e","33.90","53.65"
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|NO1","23.97","n/e","31.56","53.10"
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|NO1","21.48","n/e","27.95","54.70"
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|NO1","20.31","n/e","25.56","57.28"
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|NO1","19.97","n/e","24.29","47.85"
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|NO1","19.98","n/e","24.85","30.12"
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|NO1","20.90","n/e","24.29","37.47"
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|NO1","20.37","n/e","24.62","33.23"
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|NO1","19.13","n/e","21.99","20.59"
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|NO1","16.67","n/e","17.83","13.58"
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|NO1","14.53","n/e","14.67","9.09"
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|NO1","13.61","n/e","13.92","15.04"
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|NO1","13.43","n/e","15.98","27.49"
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|NO1","12.63","n/e","14.83","25.17"
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|NO1","11.81","n/e","25.74","23.32"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|NO1","16.98","n/e","36.05","15.19"
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|NO1","18.45","n/e","40.43","16.84"
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|NO1","19.34","n/e","37.66","20.21"
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|NO1","19.41","n/e","37.41","21.16"
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|NO1","19.76","n/e","41.12","22.68"
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|NO1","20.80","n/e","39.53","24.12"
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|NO1","21.83","n/e","30.92","24.11"
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|NO1","21.44","n/e","21.11","20.62"
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|NO1","18.82","n/e","34.94","18.28"
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|NO1","15.31","n/e","33.31","19.96"
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|NO1","14.34","n/e","16.35","22.96"
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|NO1","14.93","n/e","17.95","20.76"
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|NO1","15.67","n/e","33.04","17.45"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|NO1","16.46","n/e","33.15","17.22"
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|NO1","16.54","n/e","29.00","21.04"
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|NO1","15.88","n/e","25.47","30.46"
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|NO1","15.81","n/e","23.91","21.78"
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|NO1","15.24","n/e","23.16","22.66"
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|NO1","14.54","n/e","22.41","17.36"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|NO1","14.32","n/e","25.18","13.73"
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|NO1","13.52","n/e","23.03","9.86"
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|NO1","11.77","n/e","16.33","11.74"
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|NO1","10.98","n/e","13.82","10.72"
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|NO1","10.89","n/e","13.19","17.85"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|NO1","12.66","n/e","14.33","11.63"
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|NO1","13.35","n/e","15.34","10.10"
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|NO1","13.97","n/e","18.36","4.68"
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|NO1","15.79","n/e","19.60","2.84"
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|NO1","16.73","n/e","19.44","1.91"
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|NO1","16.86","n/e","18.39","0.45"
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|NO1","16.91","n/e","17.49","2.55"
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|NO1","16.90","n/e","16.65","5.41"
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|NO1","16.94","n/e","17.26","7.43"
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|NO1","17.54","n/e","19.08","10.69"
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|NO1","18.44","n/e","23.22","13.31"
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|NO1","19.65","n/e","26.67","24.28"
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|NO1","20.89","n/e","30.51","38.12"
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|NO1","22.70","n/e","38.87","39.58"
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|NO1","23.34","n/e","49.66","45.92"
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|NO1","28.25","n/e","79.61","36.37"
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|NO1","33.73","n/e","92.58","21.85"
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|NO1","36.78","n/e","79.55","25.93"
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|NO1","38.19","n/e","49.25","24.61"
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|NO1","38.67","n/e","39.78","63.11"
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|NO1","41.00","n/e","36.62","63.64"
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|NO1","46.54","n/e","56.46","28.03"
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|NO1","53.68","n/e","81.89","50.07"
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|NO1","62.20","n/e","64.90","73.70"
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|NO1","63.81","n/e","80.45","49.61"
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|NO1","79.65","n/e","102.86","42.73"
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|NO1","97.29","n/e","98.45","72.12"
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|NO1","114.59","n/e","82.29","54.90"
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|NO1","121.29","n/e","97.12","80.49"
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|NO1","117.34","n/e","83.44","107.11"
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|NO1","110.82","n/e","94.14","123.54"
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|NO1","101.99","n/e","105.77","105.28"
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|NO1","88.85","n/e","116.00","107.43"
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|NO1","85.61","n/e","101.96","85.55"
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|NO1","86.51","n/e","101.08","80.13"
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|NO1","88.67","n/e","91.77","67.31"
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|NO1","87.24","n/e","99.63","84.59"
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|NO1","80.55","n/e","91.06","97.24"
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|NO1","73.26","n/e","97.79","90.77"
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|NO1","69.59","n/e","109.15","78.69"
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|NO1","63.22","n/e","72.42","75.93"
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|NO1","60.88","n/e","37.38","61.79"
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|NO1","61.60","n/e","87.55","47.58"
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|NO1","65.05","n/e","71.52","47.94"
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|NO1","68.85","n/e","62.39","29.65"
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|NO1","74.50","n/e","56.62","18.63"
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|NO1","80.37","n/e","49.01","27.28"
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|NO1","88.00","n/e","43.12","40.35"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|NO1","95.50","n/e","34.95","59.21"
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|NO1","110.32","n/e","46.74","108.09"
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|NO1","131.19","n/e","63.44","141.11"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|NO1","149.10","n/e","86.65","122.86"
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|NO1","161.64","n/e","114.50","125.11"
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|NO1","168.47","n/e","113.64","167.04"
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|NO1","170.65","n/e","114.72","196.75"
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|NO1","169.31","n/e","130.61","201.14"
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|NO1","154.31","n/e","142.23","192.93"
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|NO1","152.48","n/e","159.57","195.18"
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|NO1","150.85","n/e","195.45","189.75"
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|NO1","151.48","n/e","205.74","194.99"
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|NO1","153.27","n/e","200.84","223.52"
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|NO1","156.04","n/e","204.38","230.16"
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|NO1","157.81","n/e","204.26","234.99"
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|NO1","173.38","n/e","221.59","234.95"
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|NO1","177.21","n/e","226.97","235.02"
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|NO1","181.50","n/e","232.70","243.45"
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|NO1","185.68","n/e","235.76","234.95"
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|NO1","189.52","n/e","234.47","248.15"
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|NO1","189.37","n/e","234.91","231.59"
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|NO1","185.45","n/e","231.06","226.28"
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|NO1","176.19","n/e","227.00","243.98"
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|NO1","166.35","n/e","214.57","229.98"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|NO1","207.65","n/e","206.91","230.15"
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|NO1","206.60","n/e","198.20","237.86"
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|NO1","204.00","n/e","197.54","235.48"
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|NO1","201.20","n/e","197.63","238.14"
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|NO1","197.29","n/e","196.31","234.10"
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|NO1","190.29","n/e","204.21","225.13"
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|NO1","179.44","n/e","207.69","215.67"
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|NO1","173.62","n/e","204.94","170.99"
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|NO1","162.21","n/e","192.15","151.96"
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|NO1","162.55","n/e","147.36","180.49"
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|NO1","162.16","n/e","114.54","198.82"
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|NO1","163.12","n/e","139.06","195.12"
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|NO1","165.88","n/e","162.73","195.09"
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|NO1","169.17","n/e","180.50","223.33"
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|NO1","178.03","n/e","188.49","242.91"
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|NO1","194.75","n/e","210.53","216.26"
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|NO1","200.03","n/e","211.75","225.34"
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|NO1","207.43","n/e","214.30","252.97"
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|NO1","214.84","n/e","226.23","275.23"
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|NO1","218.37","n/e","234.44","279.62"
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|NO1","215.40","n/e","238.52","281.95"
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|NO1","215.71","n/e","235.05","276.58"
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|NO1","220.45","n/e","244.16","268.92"
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|NO1","228.92","n/e","241.39","286.56"
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|NO1","230.55","n/e","239.04","287.10"
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|NO1","233.76","n/e","244.32","284.54"
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|NO1","236.54","n/e","252.09","283.46"
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|NO1","238.20","n/e","256.26","282.01"
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|NO1","241.01","n/e","262.10","285.83"
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|NO1","240.16","n/e","264.77","270.97"
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|NO1","239.94","n/e","261.82","271.54"
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|NO1","236.58","n/e","254.98","262.97"
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|NO1","215.25","n/e","222.84","256.23"
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|NO1","206.54","n/e","209.65","249.27"
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|NO1","200.57","n/e","204.44","245.23"
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|NO1","197.09","n/e","185.16","246.04"
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|NO1","198.99","n/e","180.50","246.11"
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|NO1","200.83","n/e","200.60","249.04"
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|NO1","199.06","n/e","215.89","232.80"
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|NO1","211.76","n/e","250.88","232.84"
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|NO1","215.13","n/e","254.44","242.51"
