"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|NO1","169.27","n/e","98.58","93.29"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|NO1","173.29","n/e","104.08","94.62"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|NO1","175.34","n/e","106.93","91.42"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|NO1","174.71","n/e","107.68","97.32"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|NO1","179.21","n/e","107.25","105.69"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|NO1","181.15","n/e","108.04","100.89"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|NO1","178.22","n/e","109.17","102.63"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|NO1","178.32","n/e","107.30","105.72"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|NO1","175.51","n/e","107.24","113.37"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|NO1","176.08","n/e","106.38","123.06"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|NO1","174.94","n/e","106.87","122.19"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|NO1","173.50","n/e","108.86","119.57"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|NO1","171.27","n/e","108.51","120.53"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|NO1","169.28","n/e","106.62","121.89"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|NO1","166.98","n/e","107.07","128.76"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|NO1","167.35","n/e","107.83","133.61"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|NO1","166.37","n/e","110.02","136.63"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|NO1","164.91","n/e","110.61","134.79"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|NO1","163.23","n/e","110.29","138.27"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|NO1","161.49","n/e","108.84","136.67"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|NO1","160.41","n/e","107.53","126.55"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|NO1","159.39","n/e","107.45","124.37"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|NO1","158.04","n/e","104.81","123.59"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|NO1","156.82","n/e","104.53","124.42"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|NO1","123.53","n/e","100.68","124.60"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|NO1","124.39","n/e","100.04","135.29"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|NO1","125.02","n/e","102.28","132.60"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|NO1","125.58","n/e","106.20","125.15"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|NO1","125.37","n/e","105.51","113.53"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|NO1","124.47","n/e","102.33","106.18"
