Delivery Start (CET);Delivery End (CET);NO1 Biomass (MW);NO1 Fossil Gas (MW);NO1 Hydro Run Of River And Poundage (MW);NO1 Hydro Water Reservoir (MW);NO1 Solar (MW);NO1 Waste (MW);NO1 Wind Onshore (MW);NO1 Total (MW)
01.01.2024 00:00:00;01.01.2024 01:00:00;0;0;932;411;;16;93;1452
01.01.2024 01:00:00;01.01.2024 02:00:00;0;0;930;176;;17;95;1218
01.01.2024 02:00:00;01.01.2024 03:00:00;0;0;926;177;;16;91;1210
01.01.2024 03:00:00;01.01.2024 04:00:00;0;0;926;176;;16;97;1215
01.01.2024 04:00:00;01.01.2024 05:00:00;0;0;908;175;;15;106;1204
01.01.2024 05:00:00;01.01.2024 06:00:00;0;0;927;385;;15;101;1428
01.01.2024 06:00:00;01.01.2024 07:00:00;0;0;925;473;;17;103;1518
01.01.2024 07:00:00;01.01.2024 08:00:00;0;0;946;395;;17;106;1464
01.01.2024 08:00:00;01.01.2024 09:00:00;0;0;946;391;;20;113;1470
01.01.2024 09:00:00;01.01.2024 10:00:00;0;0;953;292;;21;123;1389
01.01.2024 10:00:00;01.01.2024 11:00:00;0;0;950;329;;20;122;1421
01.01.2024 11:00:00;01.01.2024 12:00:00;0;0;953;285;;20;120;1378
01.01.2024 12:00:00;01.01.2024 13:00:00;0;0;947;367;;20;121;1455
01.01.2024 13:00:00;01.01.2024 14:00:00;0;0;940;370;;20;122;1452
01.01.2024 14:00:00;01.01.2024 15:00:00;0;0;945;344;;19;129;1437
01.01.2024 15:00:00;01.01.2024 16:00:00;0;0;944;442;;18;134;1538
01.01.2024 16:00:00;01.01.2024 17:00:00;0;0;951;440;;18;137;1546
01.01.2024 17:00:00;01.01.2024 18:00:00;0;0;945;524;;17;135;1621
01.01.2024 18:00:00;01.01.2024 19:00:00;0;0;947;463;;15;138;1563
01.01.2024 19:00:00;01.01.2024 20:00:00;0;0;944;451;;15;137;1547
01.01.2024 20:00:00;01.01.2024 21:00:00;0;0;940;439;;16;127;1522
01.01.2024 21:00:00;01.01.2024 22:00:00;0;0;936;366;;17;124;1443
01.01.2024 22:00:00;01.01.2024 23:00:00;0;0;927;347;;17;124;1415
01.01.2024 23:00:00;02.01.2024 00:00:00;0;0;928;305;;16;124;1373
02.01.2024 00:00:00;02.01.2024 01:00:00;0;0;938;338;;17;125;1418
02.01.2024 01:00:00;02.01.2024 02:00:00;0;0;913;213;;16;135;1277
02.01.2024 02:00:00;02.01.2024 03:00:00;0;0;922;210;;17;133;1282
02.01.2024 03:00:00;02.01.2024 04:00:00;0;0;932;209;;17;125;1283
02.01.2024 04:00:00;02.01.2024 05:00:00;0;0;938;211;;17;114;1280
02.01.2024 05:00:00;02.01.2024 06:00:00;0;0;940;413;;17;106;1476
02.01.2024 06:00:00;02.01.2024 07:00:00;0;0;961;396;;17;109;1483
02.01.2024 07:00:00;02.01.2024 08:00:00;0;0;970;472;;16;105;1563
02.01.2024 08:00:00;02.01.2024 09:00:00;0;0;996;547;;16;121;1680
02.01.2024 09:00:00;02.01.2024 10:00:00;0;0;1006;592;;15;122;1735
02.01.2024 10:00:00;02.01.2024 11:00:00;0;0;1010;794;;15;116;1935
02.01.2024 11:00:00;02.01.2024 12:00:00;0;0;1016;834;;15;116;1981
02.01.2024 12:00:00;02.01.2024 13:00:00;0;0;1027;1053;;15;120;2215
02.01.2024 13:00:00;02.01.2024 14:00:00;0;0;1030;905;;15;108;2058
02.01.2024 14:00:00;02.01.2024 15:00:00;0;0;1022;851;;15;110;1998
02.01.2024 15:00:00;02.01.2024 16:00:00;0;0;1021;940;;13;115;2089
02.01.2024 16:00:00;02.01.2024 17:00:00;0;0;1030;1011;;14;118;2173
02.01.2024 17:00:00;02.01.2024 18:00:00;0;0;1033;988;;14;124;2159
02.01.2024 18:00:00;02.01.2024 19:00:00;0;0;1009;787;;14;125;1935
02.01.2024 19:00:00;02.01.2024 20:00:00;0;0;1007;566;;15;124;1712
02.01.2024 20:00:00;02.01.2024 21:00:00;0;0;1021;581;;14;130;1746
02.01.2024 21:00:00;02.01.2024 22:00:00;0;0;1006;616;;14;134;1770
02.01.2024 22:00:00;02.01.2024 23:00:00;0;0;989;598;;14;139;1740
02.01.2024 23:00:00;03.01.2024 00:00:00;0;0;989;545;;14;141;1689
03.01.2024 00:00:00;03.01.2024 01:00:00;0;0;984;538;;14;129;1665
03.01.2024 01:00:00;03.01.2024 02:00:00;0;0;1009;454;;15;128;1606
03.01.2024 02:00:00;03.01.2024 03:00:00;0;0;1007;498;;15;134;1654
03.01.2024 03:00:00;03.01.2024 04:00:00;0;0;981;393;;18;141;1533
03.01.2024 04:00:00;03.01.2024 05:00:00;0;0;980;402;;17;145;1544
03.01.2024 05:00:00;03.01.2024 06:00:00;0;0;988;469;;15;139;1611
03.01.2024 06:00:00;03.01.2024 07:00:00;0;0;1009;688;;16;139;1852
03.01.2024 07:00:00;03.01.2024 08:00:00;0;0;1024;822;;15;144;2005
03.01.2024 08:00:00;03.01.2024 09:00:00;0;0;1005;820;;15;143;1983
03.01.2024 09:00:00;03.01.2024 10:00:00;0;0;1026;855;;15;141;2037
03.01.2024 10:00:00;03.01.2024 11:00:00;0;0;1024;874;;15;134;2047
03.01.2024 11:00:00;03.01.2024 12:00:00;0;0;1022;861;;11;134;2028
03.01.2024 12:00:00;03.01.2024 13:00:00;0;0;1022;914;;11;141;2088
03.01.2024 13:00:00;03.01.2024 14:00:00;0;0;1016;900;;15;140;2071
03.01.2024 14:00:00;03.01.2024 15:00:00;0;0;999;914;;15;136;2064
03.01.2024 15:00:00;03.01.2024 16:00:00;0;0;1022;894;;12;143;2071
03.01.2024 16:00:00;03.01.2024 17:00:00;0;0;1031;865;;14;151;2061
03.01.2024 17:00:00;03.01.2024 18:00:00;0;0;1045;1028;;13;149;2235
03.01.2024 18:00:00;03.01.2024 19:00:00;0;0;1055;1066;;13;139;2273
03.01.2024 19:00:00;03.01.2024 20:00:00;0;0;1041;1039;;14;137;2231
03.01.2024 20:00:00;03.01.2024 21:00:00;0;0;1031;861;;15;133;2040
03.01.2024 21:00:00;03.01.2024 22:00:00;0;0;1009;805;;15;133;1962
03.01.2024 22:00:00;03.01.2024 23:00:00;0;0;1028;678;;16;126;1848
03.01.2024 23:00:00;04.01.2024 00:00:00;0;0;1004;589;;17;112;1722
04.01.2024 00:00:00;04.01.2024 01:00:00;0;0;996;409;;19;113;1537
04.01.2024 01:00:00;04.01.2024 02:00:00;0;0;994;347;;19;111;1471
04.01.2024 02:00:00;04.01.2024 03:00:00;0;0;970;338;;17;102;1427
04.01.2024 03:00:00;04.01.2024 04:00:00;0;0;968;337;;16;97;1418
04.01.2024 04:00:00;04.01.2024 05:00:00;0;0;989;399;;16;86;1490
04.01.2024 05:00:00;04.01.2024 06:00:00;0;0;1003;434;;16;86;1539
04.01.2024 06:00:00;04.01.2024 07:00:00;0;0;1007;589;;15;85;1696
04.01.2024 07:00:00;04.01.2024 08:00:00;0;0;1014;938;;16;87;2055
04.01.2024 08:00:00;04.01.2024 09:00:00;0;0;1044;1027;;18;99;2188
04.01.2024 09:00:00;04.01.2024 10:00:00;0;0;1072;992;;14;110;2188
04.01.2024 10:00:00;04.01.2024 11:00:00;0;0;1056;1081;;14;96;2247
04.01.2024 11:00:00;04.01.2024 12:00:00;0;0;1035;1005;;12;74;2126
04.01.2024 12:00:00;04.01.2024 13:00:00;0;0;1062;1005;;12;70;2149
04.01.2024 13:00:00;04.01.2024 14:00:00;0;0;1065;966;;11;77;2119
04.01.2024 14:00:00;04.01.2024 15:00:00;0;0;1068;1148;;11;89;2316
04.01.2024 15:00:00;04.01.2024 16:00:00;0;0;1059;1146;;11;87;2303
04.01.2024 16:00:00;04.01.2024 17:00:00;0;0;1072;1208;;11;85;2376
04.01.2024 17:00:00;04.01.2024 18:00:00;0;0;1091;1183;;11;83;2368
04.01.2024 18:00:00;04.01.2024 19:00:00;0;0;1083;1236;;9;73;2401
04.01.2024 19:00:00;04.01.2024 20:00:00;0;0;1071;1190;;10;57;2328
04.01.2024 20:00:00;04.01.2024 21:00:00;0;0;1071;1141;;10;68;2290
04.01.2024 21:00:00;04.01.2024 22:00:00;0;0;1065;1033;;11;62;2171
04.01.2024 22:00:00;04.01.2024 23:00:00;0;0;1064;1080;;10;63;2217
04.01.2024 23:00:00;05.01.2024 00:00:00;0;0;1053;1026;;10;64;2153
05.01.2024 00:00:00;05.01.2024 01:00:00;0;0;1062;881;;6;65;2014
05.01.2024 01:00:00;05.01.2024 02:00:00;0;0;1055;655;;4;69;1783
05.01.2024 02:00:00;05.01.2024 03:00:00;0;0;1059;580;;4;72;1715
05.01.2024 03:00:00;05.01.2024 04:00:00;0;0;1053;607;;4;73;1737
05.01.2024 04:00:00;05.01.2024 05:00:00;0;0;1055;654;;4;73;1786
05.01.2024 05:00:00;05.01.2024 06:00:00;0;0;1064;895;;4;72;2035
05.01.2024 06:00:00;05.01.2024 07:00:00;0;0;1078;1025;;4;69;2176
05.01.2024 07:00:00;05.01.2024 08:00:00;0;0;1086;1055;;4;56;2201
05.01.2024 08:00:00;05.01.2024 09:00:00;0;0;1083;970;;4;43;2100
05.01.2024 09:00:00;05.01.2024 10:00:00;0;0;1086;989;;5;54;2134
05.01.2024 10:00:00;05.01.2024 11:00:00;0;0;1087;1048;;4;53;2192
05.01.2024 11:00:00;05.01.2024 12:00:00;0;0;1081;1010;;4;55;2150
05.01.2024 12:00:00;05.01.2024 13:00:00;0;0;1086;965;;4;57;2112
05.01.2024 13:00:00;05.01.2024 14:00:00;0;0;1088;960;;4;48;2100
05.01.2024 14:00:00;05.01.2024 15:00:00;0;0;1075;1031;;4;30;2140
05.01.2024 15:00:00;05.01.2024 16:00:00;0;0;1064;956;;4;37;2061
05.01.2024 16:00:00;05.01.2024 17:00:00;0;0;1063;937;;3;33;2036
05.01.2024 17:00:00;05.01.2024 18:00:00;0;0;1060;938;;3;21;2022
05.01.2024 18:00:00;05.01.2024 19:00:00;0;0;1054;929;;3;14;2000
05.01.2024 19:00:00;05.01.2024 20:00:00;0;0;1055;1017;;2;9;2083
05.01.2024 20:00:00;05.01.2024 21:00:00;0;0;1063;960;;2;15;2040
05.01.2024 21:00:00;05.01.2024 22:00:00;0;0;1068;1147;;3;27;2245
05.01.2024 22:00:00;05.01.2024 23:00:00;0;0;1076;1171;;3;25;2275
05.01.2024 23:00:00;06.01.2024 00:00:00;0;0;1069;1112;;3;23;2207
06.01.2024 00:00:00;06.01.2024 01:00:00;0;0;1077;866;;8;15;1966
06.01.2024 01:00:00;06.01.2024 02:00:00;0;0;1064;817;;9;17;1907
06.01.2024 02:00:00;06.01.2024 03:00:00;0;0;1066;805;;9;20;1900
06.01.2024 03:00:00;06.01.2024 04:00:00;0;0;1064;774;;9;21;1868
06.01.2024 04:00:00;06.01.2024 05:00:00;0;0;1067;729;;10;23;1829
06.01.2024 05:00:00;06.01.2024 06:00:00;0;0;1067;734;;10;24;1835
06.01.2024 06:00:00;06.01.2024 07:00:00;0;0;1068;726;;10;24;1828
06.01.2024 07:00:00;06.01.2024 08:00:00;0;0;1067;779;;10;21;1877
06.01.2024 08:00:00;06.01.2024 09:00:00;0;0;1076;955;;10;18;2059
06.01.2024 09:00:00;06.01.2024 10:00:00;0;0;1079;1059;;10;20;2168
06.01.2024 10:00:00;06.01.2024 11:00:00;0;0;1080;1188;;9;23;2300
06.01.2024 11:00:00;06.01.2024 12:00:00;0;0;1083;1184;;9;21;2297
06.01.2024 12:00:00;06.01.2024 13:00:00;0;0;1087;1131;;9;17;2244
06.01.2024 13:00:00;06.01.2024 14:00:00;0;0;1082;1113;;9;17;2221
06.01.2024 14:00:00;06.01.2024 15:00:00;0;0;1087;1136;;9;21;2253
06.01.2024 15:00:00;06.01.2024 16:00:00;0;0;1098;1188;;9;30;2325
06.01.2024 16:00:00;06.01.2024 17:00:00;0;0;1093;1210;;9;22;2334
06.01.2024 17:00:00;06.01.2024 18:00:00;0;0;1086;1223;;9;23;2341
06.01.2024 18:00:00;06.01.2024 19:00:00;0;0;1091;1161;;9;17;2278
06.01.2024 19:00:00;06.01.2024 20:00:00;0;0;1086;1102;;10;14;2212
06.01.2024 20:00:00;06.01.2024 21:00:00;0;0;1081;1080;;10;10;2181
06.01.2024 21:00:00;06.01.2024 22:00:00;0;0;1080;944;;11;12;2047
06.01.2024 22:00:00;06.01.2024 23:00:00;0;0;1078;798;;11;11;1898
06.01.2024 23:00:00;07.01.2024 00:00:00;0;0;1064;735;;10;18;1827
07.01.2024 00:00:00;07.01.2024 01:00:00;0;0;1067;789;;11;12;1879
07.01.2024 01:00:00;07.01.2024 02:00:00;0;0;1065;775;;12;10;1862
07.01.2024 02:00:00;07.01.2024 03:00:00;0;0;1066;717;;12;5;1800
07.01.2024 03:00:00;07.01.2024 04:00:00;0;0;1068;714;;12;3;1797
07.01.2024 04:00:00;07.01.2024 05:00:00;0;0;1063;705;;12;2;1782
07.01.2024 05:00:00;07.01.2024 06:00:00;0;0;1063;716;;12;0;1791
07.01.2024 06:00:00;07.01.2024 07:00:00;0;0;1065;611;;14;3;1693
07.01.2024 07:00:00;07.01.2024 08:00:00;0;0;1061;790;;12;5;1868
07.01.2024 08:00:00;07.01.2024 09:00:00;0;0;1050;760;;12;7;1829
07.01.2024 09:00:00;07.01.2024 10:00:00;0;0;1055;836;;11;11;1913
07.01.2024 10:00:00;07.01.2024 11:00:00;0;0;1058;899;;11;13;1981
07.01.2024 11:00:00;07.01.2024 12:00:00;0;0;1057;1010;;11;24;2102
07.01.2024 12:00:00;07.01.2024 13:00:00;0;0;1069;1007;;11;38;2125
07.01.2024 13:00:00;07.01.2024 14:00:00;0;0;1058;968;;11;40;2077
07.01.2024 14:00:00;07.01.2024 15:00:00;0;0;1047;903;;10;46;2006
07.01.2024 15:00:00;07.01.2024 16:00:00;0;0;1056;1026;;9;36;2127
07.01.2024 16:00:00;07.01.2024 17:00:00;0;0;1067;1078;;9;22;2176
07.01.2024 17:00:00;07.01.2024 18:00:00;0;0;1077;1176;;9;26;2288
07.01.2024 18:00:00;07.01.2024 19:00:00;0;0;1077;1159;;9;25;2270
07.01.2024 19:00:00;07.01.2024 20:00:00;0;0;1078;1146;;9;63;2296
07.01.2024 20:00:00;07.01.2024 21:00:00;0;0;1076;1171;;9;64;2320
07.01.2024 21:00:00;07.01.2024 22:00:00;0;0;1071;1117;;9;28;2225
07.01.2024 22:00:00;07.01.2024 23:00:00;0;0;1066;1132;;9;50;2257
07.01.2024 23:00:00;08.01.2024 00:00:00;0;0;1064;947;;9;74;2094
08.01.2024 00:00:00;08.01.2024 01:00:00;0;0;1065;813;;9;50;1937
08.01.2024 01:00:00;08.01.2024 02:00:00;0;0;1050;704;;7;43;1804
08.01.2024 02:00:00;08.01.2024 03:00:00;0;0;1043;679;;9;72;1803
08.01.2024 03:00:00;08.01.2024 04:00:00;0;0;1046;660;;11;55;1772
08.01.2024 04:00:00;08.01.2024 05:00:00;0;0;1045;652;;9;80;1786
08.01.2024 05:00:00;08.01.2024 06:00:00;0;0;1047;708;;8;107;1870
08.01.2024 06:00:00;08.01.2024 07:00:00;0;0;1069;1048;;6;124;2247
08.01.2024 07:00:00;08.01.2024 08:00:00;0;0;1081;1216;;5;105;2407
08.01.2024 08:00:00;08.01.2024 09:00:00;0;0;1080;1236;;5;107;2428
08.01.2024 09:00:00;08.01.2024 10:00:00;0;0;1080;1189;;6;86;2361
08.01.2024 10:00:00;08.01.2024 11:00:00;0;0;1064;1240;;6;80;2390
08.01.2024 11:00:00;08.01.2024 12:00:00;0;0;1067;1168;;8;67;2310
08.01.2024 12:00:00;08.01.2024 13:00:00;0;0;1068;1162;;6;85;2321
08.01.2024 13:00:00;08.01.2024 14:00:00;0;0;1075;1127;;5;97;2304
08.01.2024 14:00:00;08.01.2024 15:00:00;0;0;1075;1105;;5;91;2276
08.01.2024 15:00:00;08.01.2024 16:00:00;0;0;1083;1012;;5;79;2179
08.01.2024 16:00:00;08.01.2024 17:00:00;0;0;1073;974;;5;76;2128
08.01.2024 17:00:00;08.01.2024 18:00:00;0;0;1082;1160;;3;62;2307
08.01.2024 18:00:00;08.01.2024 19:00:00;0;0;1080;1204;;3;48;2335
08.01.2024 19:00:00;08.01.2024 20:00:00;0;0;1082;1199;;4;48;2333
08.01.2024 20:00:00;08.01.2024 21:00:00;0;0;1088;1161;;4;30;2283
08.01.2024 21:00:00;08.01.2024 22:00:00;0;0;1083;1136;;5;19;2243
08.01.2024 22:00:00;08.01.2024 23:00:00;0;0;1077;1071;;7;27;2182
08.01.2024 23:00:00;09.01.2024 00:00:00;0;0;1072;899;;7;40;2018
09.01.2024 00:00:00;09.01.2024 01:00:00;0;0;1061;778;;7;59;1905
09.01.2024 01:00:00;09.01.2024 02:00:00;0;0;1056;716;;8;108;1888
09.01.2024 02:00:00;09.01.2024 03:00:00;0;0;1066;674;;9;141;1890
09.01.2024 03:00:00;09.01.2024 04:00:00;0;0;1069;666;;11;123;1869
09.01.2024 04:00:00;09.01.2024 05:00:00;0;0;1072;718;;14;125;1929
09.01.2024 05:00:00;09.01.2024 06:00:00;0;0;1072;797;;14;167;2050
09.01.2024 06:00:00;09.01.2024 07:00:00;0;0;1076;873;;14;197;2160
09.01.2024 07:00:00;09.01.2024 08:00:00;0;0;1087;1064;;14;201;2366
09.01.2024 08:00:00;09.01.2024 09:00:00;0;0;1080;1206;;14;193;2493
09.01.2024 09:00:00;09.01.2024 10:00:00;0;0;1079;1225;;14;195;2513
09.01.2024 10:00:00;09.01.2024 11:00:00;0;0;1080;1230;;15;190;2515
09.01.2024 11:00:00;09.01.2024 12:00:00;0;0;1075;1199;;15;195;2484
09.01.2024 12:00:00;09.01.2024 13:00:00;0;0;1098;1086;;14;224;2422
09.01.2024 13:00:00;09.01.2024 14:00:00;0;0;1101;1080;;14;230;2425
09.01.2024 14:00:00;09.01.2024 15:00:00;0;0;1098;1144;;14;235;2491
09.01.2024 15:00:00;09.01.2024 16:00:00;0;0;1111;1192;;17;235;2555
09.01.2024 16:00:00;09.01.2024 17:00:00;0;0;1117;1214;;19;235;2585
09.01.2024 17:00:00;09.01.2024 18:00:00;0;0;1118;1169;;19;243;2549
09.01.2024 18:00:00;09.01.2024 19:00:00;0;0;1116;1173;;18;235;2542
09.01.2024 19:00:00;09.01.2024 20:00:00;0;0;1111;1188;;18;248;2565
09.01.2024 20:00:00;09.01.2024 21:00:00;0;0;1114;1122;;19;232;2487
09.01.2024 21:00:00;09.01.2024 22:00:00;0;0;1119;1087;;19;226;2451
09.01.2024 22:00:00;09.01.2024 23:00:00;0;0;1105;964;;20;244;2333
09.01.2024 23:00:00;10.01.2024 00:00:00;0;0;1099;818;;19;230;2166
10.01.2024 00:00:00;10.01.2024 01:00:00;0;0;1115;846;;14;230;2205
10.01.2024 01:00:00;10.01.2024 02:00:00;0;0;1103;821;;14;238;2176
10.01.2024 02:00:00;10.01.2024 03:00:00;0;0;1102;839;;14;235;2190
10.01.2024 03:00:00;10.01.2024 04:00:00;0;0;1106;835;;14;238;2193
10.01.2024 04:00:00;10.01.2024 05:00:00;0;0;1113;815;;14;234;2176
10.01.2024 05:00:00;10.01.2024 06:00:00;0;0;1113;871;;14;225;2223
10.01.2024 06:00:00;10.01.2024 07:00:00;0;0;1117;960;;15;216;2308
10.01.2024 07:00:00;10.01.2024 08:00:00;0;0;1133;1159;;14;171;2477
10.01.2024 08:00:00;10.01.2024 09:00:00;0;0;1134;1148;;14;152;2448
10.01.2024 09:00:00;10.01.2024 10:00:00;0;0;1142;1188;;14;180;2524
10.01.2024 10:00:00;10.01.2024 11:00:00;0;0;1138;1189;;14;199;2540
10.01.2024 11:00:00;10.01.2024 12:00:00;0;0;1130;1127;;14;195;2466
10.01.2024 12:00:00;10.01.2024 13:00:00;0;0;1128;1147;;14;195;2484
10.01.2024 13:00:00;10.01.2024 14:00:00;0;0;1137;1095;;14;223;2469
10.01.2024 14:00:00;10.01.2024 15:00:00;0;0;1133;1138;;14;243;2528
10.01.2024 15:00:00;10.01.2024 16:00:00;0;0;1137;1187;;14;216;2554
10.01.2024 16:00:00;10.01.2024 17:00:00;0;0;1136;1166;;14;225;2541
10.01.2024 17:00:00;10.01.2024 18:00:00;0;0;1138;1171;;13;253;2575
10.01.2024 18:00:00;10.01.2024 19:00:00;0;0;1137;1137;;12;275;2561
10.01.2024 19:00:00;10.01.2024 20:00:00;0;0;1137;1192;;12;280;2621
10.01.2024 20:00:00;10.01.2024 21:00:00;0;0;1140;1180;;13;282;2615
10.01.2024 21:00:00;10.01.2024 22:00:00;0;0;1142;1009;;13;277;2441
10.01.2024 22:00:00;10.01.2024 23:00:00;0;0;1127;923;;14;269;2333
10.01.2024 23:00:00;11.01.2024 00:00:00;0;0;1119;853;;13;287;2272
11.01.2024 00:00:00;11.01.2024 01:00:00;0;0;1123;727;;13;287;2150
11.01.2024 01:00:00;11.01.2024 02:00:00;0;0;1109;637;;13;285;2044
11.01.2024 02:00:00;11.01.2024 03:00:00;0;0;1114;574;;10;283;1981
11.01.2024 03:00:00;11.01.2024 04:00:00;0;0;1112;524;;12;282;1930
11.01.2024 04:00:00;11.01.2024 05:00:00;0;0;1111;629;;13;286;2039
11.01.2024 05:00:00;11.01.2024 06:00:00;0;0;1118;763;;13;271;2165
11.01.2024 06:00:00;11.01.2024 07:00:00;0;0;1113;881;;13;272;2279
11.01.2024 07:00:00;11.01.2024 08:00:00;0;0;1122;978;;14;263;2377
11.01.2024 08:00:00;11.01.2024 09:00:00;0;0;1136;1136;;14;256;2542
11.01.2024 09:00:00;11.01.2024 10:00:00;0;0;1133;1103;;13;249;2498
11.01.2024 10:00:00;11.01.2024 11:00:00;0;0;1122;956;;14;245;2337
11.01.2024 11:00:00;11.01.2024 12:00:00;0;0;1119;1076;;14;246;2455
11.01.2024 12:00:00;11.01.2024 13:00:00;0;0;1120;1026;;14;246;2406
11.01.2024 13:00:00;11.01.2024 14:00:00;0;0;1123;977;;14;249;2363
11.01.2024 14:00:00;11.01.2024 15:00:00;0;0;1126;1036;;14;233;2409
11.01.2024 15:00:00;11.01.2024 16:00:00;0;0;1132;1035;;15;233;2415
11.01.2024 16:00:00;11.01.2024 17:00:00;0;0;1137;1094;;14;243;2488
11.01.2024 17:00:00;11.01.2024 18:00:00;0;0;1134;1052;;14;254;2454
11.01.2024 18:00:00;11.01.2024 19:00:00;0;0;1129;1151;;14;246;2540
11.01.2024 19:00:00;11.01.2024 20:00:00;0;0;1131;1180;;14;229;2554
11.01.2024 20:00:00;11.01.2024 21:00:00;0;0;1129;1106;;14;212;2461
11.01.2024 21:00:00;11.01.2024 22:00:00;0;0;1129;1024;;14;212;2379
11.01.2024 22:00:00;11.01.2024 23:00:00;0;0;1106;888;;14;171;2179
11.01.2024 23:00:00;12.01.2024 00:00:00;0;0;1092;793;;14;180;2079
12.01.2024 00:00:00;12.01.2024 01:00:00;0;0;1093;615;;14;189;1911
12.01.2024 01:00:00;12.01.2024 02:00:00;0;0;1094;535;;15;177;1821
12.01.2024 02:00:00;12.01.2024 03:00:00;0;0;1094;499;;16;161;1770
12.01.2024 03:00:00;12.01.2024 04:00:00;0;0;1097;472;;16;158;1743
12.01.2024 04:00:00;12.01.2024 05:00:00;0;0;1105;481;;15;143;1744
12.01.2024 05:00:00;12.01.2024 06:00:00;0;0;1103;554;;14;177;1848
12.01.2024 06:00:00;12.01.2024 07:00:00;0;0;1108;580;;14;223;1925
12.01.2024 07:00:00;12.01.2024 08:00:00;0;0;1115;914;;14;219;2262
12.01.2024 08:00:00;12.01.2024 09:00:00;0;0;1119;959;;14;191;2283
12.01.2024 09:00:00;12.01.2024 10:00:00;0;0;1118;1008;;14;224;2364
12.01.2024 10:00:00;12.01.2024 11:00:00;0;0;1122;1030;;15;200;2367
12.01.2024 11:00:00;12.01.2024 12:00:00;0;0;1117;1037;;15;163;2332
12.01.2024 12:00:00;12.01.2024 13:00:00;0;0;1114;954;;14;168;2250
12.01.2024 13:00:00;12.01.2024 14:00:00;0;0;1108;961;;14;145;2228
12.01.2024 14:00:00;12.01.2024 15:00:00;0;0;1106;1026;;14;62;2208
12.01.2024 15:00:00;12.01.2024 16:00:00;0;0;1116;1052;;14;32;2214
12.01.2024 16:00:00;12.01.2024 17:00:00;0;0;1124;1103;;13;32;2272
12.01.2024 17:00:00;12.01.2024 18:00:00;0;0;1121;1132;;14;17;2284
12.01.2024 18:00:00;12.01.2024 19:00:00;0;0;1124;1169;;14;5;2312
12.01.2024 19:00:00;12.01.2024 20:00:00;0;0;1137;1141;;13;31;2322
12.01.2024 20:00:00;12.01.2024 21:00:00;0;0;1146;1105;;14;122;2387
12.01.2024 21:00:00;12.01.2024 22:00:00;0;0;1142;1065;;14;193;2414
12.01.2024 22:00:00;12.01.2024 23:00:00;0;0;1136;824;;14;234;2208
12.01.2024 23:00:00;13.01.2024 00:00:00;0;0;1119;627;;14;211;1971
13.01.2024 00:00:00;13.01.2024 01:00:00;0;0;1130;622;;14;247;2013
13.01.2024 01:00:00;13.01.2024 02:00:00;0;0;1117;589;;12;215;1933
13.01.2024 02:00:00;13.01.2024 03:00:00;0;0;1129;571;;12;176;1888
13.01.2024 03:00:00;13.01.2024 04:00:00;0;0;1118;557;;12;130;1817
13.01.2024 04:00:00;13.01.2024 05:00:00;0;0;1119;504;;14;126;1763
13.01.2024 05:00:00;13.01.2024 06:00:00;0;0;1132;491;;14;198;1835
13.01.2024 06:00:00;13.01.2024 07:00:00;0;0;1129;486;;15;206;1836
13.01.2024 07:00:00;13.01.2024 08:00:00;0;0;1126;505;;16;161;1808
13.01.2024 08:00:00;13.01.2024 09:00:00;0;0;1121;519;;16;142;1798
13.01.2024 09:00:00;13.01.2024 10:00:00;0;0;1126;659;;15;88;1888
13.01.2024 10:00:00;13.01.2024 11:00:00;0;0;1108;759;;14;100;1981
13.01.2024 11:00:00;13.01.2024 12:00:00;0;0;1107;677;;12;205;2001
13.01.2024 12:00:00;13.01.2024 13:00:00;0;0;1106;680;;12;230;2028
13.01.2024 13:00:00;13.01.2024 14:00:00;0;0;1107;693;;13;214;2027
13.01.2024 14:00:00;13.01.2024 15:00:00;0;0;1102;621;;13;200;1936
13.01.2024 15:00:00;13.01.2024 16:00:00;0;0;1104;617;;13;204;1938
13.01.2024 16:00:00;13.01.2024 17:00:00;0;0;1113;724;;12;232;2081
13.01.2024 17:00:00;13.01.2024 18:00:00;0;0;1122;764;;11;226;2123
13.01.2024 18:00:00;13.01.2024 19:00:00;0;0;1115;754;;11;256;2136
13.01.2024 19:00:00;13.01.2024 20:00:00;0;0;1115;694;;12;255;2076
13.01.2024 20:00:00;13.01.2024 21:00:00;0;0;1107;607;;13;278;2005
13.01.2024 21:00:00;13.01.2024 22:00:00;0;0;1096;481;;15;282;1874
13.01.2024 22:00:00;13.01.2024 23:00:00;0;0;1080;544;;15;285;1924
13.01.2024 23:00:00;14.01.2024 00:00:00;0;0;1086;546;;15;287;1934
14.01.2024 00:00:00;14.01.2024 01:00:00;0;0;1076;328;;15;273;1692
14.01.2024 01:00:00;14.01.2024 02:00:00;0;0;1076;246;;15;250;1587
14.01.2024 02:00:00;14.01.2024 03:00:00;0;0;1065;245;;16;231;1557
14.01.2024 03:00:00;14.01.2024 04:00:00;0;0;1048;205;;17;200;1470
14.01.2024 04:00:00;14.01.2024 05:00:00;0;0;1036;188;;17;159;1400
14.01.2024 05:00:00;14.01.2024 06:00:00;0;0;1042;267;;19;103;1431
14.01.2024 06:00:00;14.01.2024 07:00:00;0;0;1074;416;;19;112;1621
14.01.2024 07:00:00;14.01.2024 08:00:00;0;0;1045;394;;19;102;1560
